Geneid	Chr	Start	End	Strand	Length	hyb1/add_read_group/hyb1.sorted.bam	tar2/add_read_group/tar2.sorted.bam	inf1/add_read_group/inf1.sorted.bam	inf2/add_read_group/inf2.sorted.bam	tar3/add_read_group/tar3.sorted.bam	tar1/add_read_group/tar1.sorted.bam	hyb3/add_read_group/hyb3.sorted.bam	hyb2/add_read_group/hyb2.sorted.bam	inf3/add_read_group/inf3.sorted.bam
gene-LINF_010007500	LR812934.1	70170	71015	-	846	717	89	2869	913	207	224	104	335	860
gene-LINF_010007600	LR812934.1	72375	72698	-	324	395	85	1274	378	119	127	49	156	499
gene-LINF_010007700	LR812934.1	74177	75418	-	1242	904	48	4874	1572	160	160	120	449	1455
gene-LINF_010007800	LR812934.1	76639	77157	-	519	1326	164	5412	1809	239	428	203	686	1657
gene-LINF_010007900	LR812934.1	78068	78247	-	180	1463	6	9180	3678	15	4	216	754	2576
gene-LINF_010008000	LR812934.1	78817	79980	-	1164	1018	28	7079	2807	43	74	167	518	2370
gene-LINF_010008100	LR812934.1	80340	80771	-	432	206	20	1518	562	64	101	38	119	480
gene-LINF_010008200	LR812934.1	81741	82664	+	924	678	124	3514	1316	228	228	189	551	1430
gene-LINF_010008300	LR812934.1	83113	83745	+	633	714	5	5949	2353	12	9	115	414	1589
gene-LINF_010008400	LR812934.1	84325	84618	+	294	1440	185	4211	1684	233	420	203	851	1336
gene-LINF_010008500	LR812934.1	85705	86481	+	777	345	17	3157	1163	49	43	61	273	1092
gene-LINF_010008600	LR812934.1	88139	90385	+	2247	921	57	5392	1471	189	204	141	584	1833
gene-LINF_010008700	LR812934.1	91224	91793	+	570	309	6	2168	783	32	34	48	126	589
gene-LINF_010008800	LR812934.1	92426	92992	+	567	573	93	2591	861	193	204	99	352	734
gene-LINF_010008900	LR812934.1	93860	96310	+	2451	1406	145	7286	2382	311	463	217	774	2637
gene-LINF_010009000	LR812934.1	97206	99671	+	2466	636	25	4705	1716	68	82	93	365	1422
gene-LINF_010009100	LR812934.1	100535	102241	+	1707	279	4	1993	739	24	16	35	148	527
gene-LINF_010009200	LR812934.1	102868	103470	+	603	13891	6297	20962	10337	5922	9624	2830	8508	12722
gene-LINF_010009300	LR812934.1	104660	105262	+	603	13785	6317	20215	9969	5899	9551	2920	8547	12252
gene-LINF_010009400	LR812934.1	106134	108368	+	2235	922	115	2542	879	261	371	115	473	808
gene-LINF_010009500	LR812934.1	109697	111463	+	1767	990	67	3218	999	185	213	117	583	1465
gene-LINF_010009600	LR812934.1	114424	115080	+	657	666	48	3695	1256	92	149	116	362	1428
gene-LINF_010009700	LR812934.1	117138	121772	+	4635	4393	655	10033	3103	1092	1777	618	2866	3657
gene-LINF_010009800	LR812934.1	125902	127992	+	2091	2535	296	8767	2901	559	918	386	1421	3652
gene-LINF_010009900	LR812934.1	128823	129902	+	1080	873	245	2708	853	277	663	140	626	1270
gene-LINF_010010000	LR812934.1	131641	133737	+	2097	1510	86	5941	2224	227	190	229	1019	3015
gene-LINF_010010100	LR812934.1	134852	136975	+	2124	1237	0	14062	7897	1	0	132	558	3058
gene-LINF_010010200	LR812934.1	140316	140555	+	240	191	0	1933	782	0	0	18	103	464
gene-LINF_010010300	LR812934.1	141480	143627	+	2148	2784	480	12426	5327	708	1114	357	1959	4263
gene-LINF_010010400	LR812934.1	147251	152107	+	4857	1257	118	4470	1820	148	321	124	784	1714
gene-LINF_010010500	LR812934.1	153104	155149	+	2046	840	38	5049	2331	50	84	121	541	1567
gene-LINF_010010600	LR812934.1	156610	157716	+	1107	576	50	2739	978	83	154	96	378	1162
gene-LINF_010010700	LR812934.1	158783	160651	+	1869	808	75	3648	1542	154	214	97	533	1229
gene-LINF_010010800	LR812934.1	161265	162245	+	981	1034	131	4868	2219	232	321	151	674	1982
gene-LINF_010010900	LR812934.1	162937	165831	+	2895	747	59	3592	1624	73	155	89	512	1124
gene-LINF_010011000	LR812934.1	166851	168125	+	1275	1218	154	6559	3266	212	303	174	857	2104
gene-LINF_010011100	LR812934.1	169190	174643	+	5454	1390	157	5744	2345	261	349	195	945	1863
gene-LINF_010011200	LR812934.1	175625	176356	+	732	427	58	1643	754	97	127	46	242	504
gene-LINF_010011300	LR812934.1	176985	178757	+	1773	934	0	10183	4418	4	2	138	515	3748
gene-LINF_010011400	LR812934.1	181105	183228	+	2124	836	8	5516	1909	4	13	158	508	2053
gene-LINF_010011500	LR812934.1	184800	188135	+	3336	1487	128	8740	2802	341	427	278	978	4306
gene-LINF_010011600	LR812934.1	189091	190575	+	1485	2970	628	7532	2669	1109	1580	430	1871	3330
gene-LINF_010011700	LR812934.1	191969	196465	+	4497	1688	167	6786	2154	250	424	284	1061	2609
gene-LINF_010011800	LR812934.1	197459	198367	+	909	525	38	1775	617	90	184	54	316	445
gene-LINF_010011900	LR812934.1	202489	204894	+	2406	791	7	4129	1402	23	30	82	493	1398
gene-LINF_010012000	LR812934.1	206794	207495	+	702	723	14	4070	1874	18	32	98	474	828
gene-LINF_010012100	LR812934.1	210432	211493	+	1062	211	0	1426	558	0	0	28	133	328
gene-LINF_010012200	LR812934.1	213790	215409	+	1620	552	47	3521	1236	75	140	96	298	1029
gene-LINF_010012300	LR812934.1	216040	220872	+	4833	1182	86	6164	2132	163	274	174	622	1837
gene-LINF_010012400	LR812934.1	222098	228886	+	6789	1790	191	9041	3008	507	716	288	1072	2813
gene-LINF_010012500	LR812934.1	229670	231934	+	2265	1329	198	4733	1389	412	585	208	740	1257
gene-LINF_010012600	LR812934.1	233466	237713	+	4248	1040	40	5799	1912	105	95	166	569	1548
gene-LINF_010012700	LR812934.1	238289	239311	+	1023	286	10	2307	920	24	35	45	168	727
gene-LINF_010012800	LR812934.1	240165	241376	+	1212	27921	4308	27116	8180	7846	10383	3864	18386	13183
gene-LINF_010012900	LR812934.1	243452	244663	+	1212	28550	4364	27281	8261	7708	10285	3986	18363	13212
gene-LINF_010013000	LR812934.1	246809	248401	+	1593	1339	122	4956	1652	209	398	193	894	1666
gene-LINF_010013100	LR812934.1	250512	251984	+	1473	588	80	2836	1074	97	123	100	380	830
gene-LINF_010013200	LR812934.1	253431	256484	+	3054	1850	260	4305	1337	526	716	281	1121	1371
gene-LINF_010013300	LR812934.1	257855	261553	+	3699	1423	175	5351	1656	331	666	183	766	1544
gene-LINF_020005000	LR812935.1	3395	5842	-	2448	460	3	1313	335	2	3	60	273	363
gene-LINF_020005100	LR812935.1	7751	8053	-	303	7893	1624	6673	3188	2336	4825	1390	4919	3985
gene-LINF_020005200	LR812935.1	8897	9517	-	621	546	0	1547	768	0	0	73	335	406
gene-LINF_020005300	LR812935.1	10679	12538	-	1860	2754	235	4819	1411	216	623	343	1421	1944
gene-LINF_020005400	LR812935.1	17547	18203	-	657	934	105	2589	797	144	359	121	560	747
gene-LINF_020005500	LR812935.1	18850	19428	-	579	447	30	1194	424	56	84	71	274	285
gene-LINF_020005600	LR812935.1	20044	21237	-	1194	1225	32	3251	1165	85	108	138	661	820
gene-LINF_020005700	LR812935.1	23320	26301	-	2982	1850	79	3726	1057	199	256	229	1060	1293
gene-LINF_020005800	LR812935.1	27895	28839	-	945	633	4	1744	688	4	1	87	360	436
gene-LINF_020005900	LR812935.1	30149	31213	-	1065	1551	201	3516	880	288	421	243	882	1580
gene-LINF_020006000	LR812935.1	33908	36835	-	2928	3207	34	5837	1648	76	153	310	1696	1444
gene-LINF_020006100	LR812935.1	38917	42417	-	3501	1603	224	2878	867	616	599	218	967	1081
gene-LINF_020006200	LR812935.1	44234	58954	-	14721	3709	165	10762	3172	316	416	511	2217	3393
gene-LINF_020006300	LR812935.1	60504	61223	-	720	1349	151	3973	1396	274	341	249	698	1412
gene-LINF_020006400	LR812935.1	62123	64810	-	2688	1591	105	3261	1103	254	390	212	1054	1023
gene-LINF_020006500	LR812935.1	66104	72016	-	5913	3385	47	7237	2542	95	94	460	1919	2093
gene-LINF_020006700	LR812935.1	79711	82164	-	2454	828	18	2258	807	37	54	115	477	606
gene-LINF_020006800	LR812935.1	86347	88779	-	2433	1684	15	3844	1564	38	33	215	949	1351
gene-LINF_020006900	LR812935.1	90963	92927	-	1965	1449	24	5383	1998	72	85	184	784	1710
gene-LINF_020007000	LR812935.1	99643	101961	-	2319	2297	81	7104	2793	204	206	324	1388	3088
gene-LINF_020007100	LR812935.1	104398	106989	-	2592	1829	26	6118	2258	64	97	234	915	1823
gene-LINF_020007200	LR812935.1	110603	112945	-	2343	932	0	1748	463	1	1	143	558	868
gene-LINF_020007300	LR812935.1	114421	117402	-	2982	3626	10	6683	2423	35	33	396	1804	1763
gene-LINF_020007400	LR812935.1	119608	122316	-	2709	2981	111	7177	2325	157	265	360	1469	1891
gene-LINF_020007500	LR812935.1	123983	127423	-	3441	2776	257	7319	2387	598	771	402	1540	2283
gene-LINF_020007600	LR812935.1	128915	129739	-	825	1131	74	2818	1015	113	249	180	718	807
gene-LINF_020007700	LR812935.1	131272	131466	-	195	601	14	1575	615	35	45	93	253	684
gene-LINF_020007800	LR812935.1	133544	134053	-	510	692	40	1606	556	99	216	101	347	543
gene-LINF_020007900	LR812935.1	134937	136529	-	1593	1229	175	2701	1011	251	517	167	715	866
gene-LINF_020008000	LR812935.1	145478	149221	-	3744	1168	40	2875	1429	137	116	220	705	992
gene-LINF_020008100	LR812935.1	153058	155130	-	2073	1969	27	7030	3526	36	73	208	1200	2039
gene-LINF_020008200	LR812935.1	156282	157256	-	975	1098	70	2422	683	116	144	192	545	1315
gene-LINF_020008300	LR812935.1	157928	162544	-	4617	2061	93	3255	1201	297	308	300	1248	1165
gene-LINF_020008400	LR812935.1	163783	166701	-	2919	1232	40	3015	1151	70	78	195	935	1092
gene-LINF_020008500	LR812935.1	167864	171049	-	3186	1617	80	5051	1792	115	237	253	1078	1768
gene-LINF_020008600	LR812935.1	172810	173955	-	1146	2066	321	5034	2029	566	738	279	1331	1738
gene-LINF_020008700	LR812935.1	175540	177129	-	1590	2752	482	5449	2116	756	1234	360	1562	1681
gene-LINF_020008800	LR812935.1	178188	179561	-	1374	1092	404	2336	1057	566	944	159	785	867
gene-LINF_020008900	LR812935.1	180883	181341	-	459	603	216	1169	479	295	393	70	414	496
gene-LINF_020009100	LR812935.1	182776	185856	-	3081	1574	95	3477	1397	141	179	185	1122	1054
gene-LINF_020009200	LR812935.1	188531	191590	-	3060	2028	197	3878	1393	345	528	279	1314	2007
gene-LINF_020009300	LR812935.1	195453	196565	-	1113	647	32	2040	910	40	39	95	412	665
gene-LINF_020009700	LR812935.1	202759	203592	-	834	1602	26	4363	1905	39	65	256	1097	2094
gene-LINF_020009800	LR812935.1	207733	208608	-	876	5698	1147	13657	4478	2326	3482	825	3461	4937
gene-LINF_020009900	LR812935.1	209832	219395	-	9564	4682	15	11114	4000	15	36	578	3092	3876
gene-LINF_020010000	LR812935.1	222245	222850	-	606	437	9	1429	440	33	31	65	244	704
gene-LINF_020010100	LR812935.1	223697	225826	-	2130	1112	1	2789	1070	3	1	120	658	814
gene-LINF_020010200	LR812935.1	227787	230636	-	2850	1229	137	3479	1195	269	331	140	671	1164
gene-LINF_020010300	LR812935.1	231992	232504	-	513	297	0	585	287	0	0	29	138	169
gene-LINF_020010400	LR812935.1	234105	240380	-	6276	4924	121	7543	2599	279	451	504	2921	2446
gene-LINF_020010500	LR812935.1	235340	235431	+	92	2	0	3	4	0	0	0	1	0
gene-LINF_020010600	LR812935.1	246697	249288	-	2592	2026	143	3849	1620	343	444	191	927	1222
gene-LINF_020010700	LR812935.1	250689	251669	-	981	1980	362	3407	1438	774	805	191	1097	789
gene-LINF_020010800	LR812935.1	254036	254527	-	492	2678	82	9447	4297	89	471	227	1387	2918
gene-LINF_020010900	LR812935.1	255627	258170	-	2544	1665	91	4784	1563	262	361	223	746	1223
gene-LINF_020011000	LR812935.1	261675	265946	-	4272	1435	73	3224	944	204	205	182	661	735
gene-LINF_020011100	LR812935.1	298221	309587	+	11367	4314	479	9716	2627	1307	1515	476	1930	2642
gene-LINF_020011200	LR812935.1	310402	311937	+	1536	824	39	2584	851	89	183	102	389	859
gene-LINF_020011300	LR812935.1	312988	313620	+	633	270	4	902	312	15	16	34	129	329
gene-LINF_020011400	LR812935.1	315192	316157	+	966	738	175	2427	1010	387	525	130	547	1022
gene-LINF_020011500	LR812935.1	317349	319052	+	1704	772	76	2843	1008	156	134	125	465	1104
gene-LINF_020011600	LR812935.1	320082	322061	+	1980	624	108	1826	649	229	375	76	397	486
gene-LINF_020011700	LR812935.1	323555	327799	+	4245	1205	36	4097	1489	73	126	165	664	1008
gene-LINF_020011800	LR812935.1	328329	329276	+	948	954	73	2334	790	148	256	127	442	858
gene-LINF_020011900	LR812935.1	330183	332915	+	2733	2166	612	3425	806	1192	1731	269	948	1174
gene-LINF_020012000	LR812935.1	333812	334753	+	942	1103	211	2545	785	583	501	210	760	2013
gene-LINF_020012100	LR812935.1	336793	337371	+	579	399	75	1255	439	172	178	68	247	620
gene-LINF_020012200	LR812935.1	338308	339672	+	1365	708	27	2275	1008	54	62	103	420	923
gene-LINF_020012300	LR812935.1	340458	343268	+	2811	1458	223	4046	1456	439	874	153	828	1308
gene-LINF_020012400	LR812935.1	344985	347438	+	2454	3146	1573	3905	1153	1928	3281	402	1819	1933
gene-LINF_020012430	LR812935.1	348523	348765	+	243	81	0	229	76	1	0	7	51	76
gene-LINF_020012460	LR812935.1	349947	350492	+	546	182	0	434	134	0	0	28	100	127
gene-LINF_030005000	LR812936.1	1189	4218	-	3030	448	3	2671	937	4	2	72	241	678
gene-LINF_030005100	LR812936.1	5500	6306	+	807	311	0	2097	644	0	0	45	158	524
gene-LINF_030005200	LR812936.1	7036	8259	+	1224	1203	62	6649	2153	154	176	209	643	2283
gene-LINF_030005300	LR812936.1	9198	10343	+	1146	844	122	5100	1760	317	466	105	425	1613
gene-LINF_030005400	LR812936.1	13324	14496	+	1173	549	137	3355	847	249	336	84	240	1091
gene-LINF_030005500	LR812936.1	15347	17848	+	2502	642	230	4076	1210	568	708	104	322	1022
gene-LINF_030005600	LR812936.1	18578	20464	+	1887	1743	497	8487	3182	1180	1341	224	916	2501
gene-LINF_030005700	LR812936.1	21719	23422	+	1704	520	120	4166	1229	364	459	104	283	1332
gene-LINF_030005800	LR812936.1	24882	25376	+	495	476	142	3821	1262	257	525	69	232	1281
gene-LINF_030005900	LR812936.1	26679	29354	+	2676	632	72	4945	1425	184	225	79	333	1625
gene-LINF_030006000	LR812936.1	30102	32879	+	2778	654	88	4564	1318	201	290	101	377	1790
gene-LINF_030006100	LR812936.1	33825	34373	+	549	367	51	2306	757	125	124	72	206	1271
gene-LINF_030006200	LR812936.1	35249	35668	+	420	211	30	2404	987	58	99	37	109	845
gene-LINF_030006300	LR812936.1	36906	37841	+	936	927	376	6530	2162	701	1012	155	381	2678
gene-LINF_030006400	LR812936.1	38711	40885	+	2175	1317	552	5955	1994	1298	1604	244	713	2014
gene-LINF_030006500	LR812936.1	41874	42449	+	576	217	0	2107	848	0	0	34	151	643
gene-LINF_030006600	LR812936.1	43048	44922	+	1875	254	0	2518	810	1	0	42	158	1006
gene-LINF_030006700	LR812936.1	45824	46456	+	633	601	167	3100	870	359	309	94	318	1688
gene-LINF_030006800	LR812936.1	47999	49681	+	1683	3013	1919	12390	3164	3661	3406	746	2101	10871
gene-LINF_030006900	LR812936.1	51461	52600	+	1140	719	260	4290	1246	422	558	110	427	1772
gene-LINF_030007000	LR812936.1	53692	54633	+	942	536	257	2206	823	441	698	95	369	1152
gene-LINF_030007100	LR812936.1	55567	57681	+	2115	1750	357	8276	2995	604	1110	204	1171	3626
gene-LINF_030007200	LR812936.1	60825	61289	+	465	359	117	2497	1033	159	326	58	241	861
gene-LINF_030007300	LR812936.1	61907	62158	+	252	6805	7051	20691	7630	8099	11594	1296	3608	9123
gene-LINF_030007400	LR812936.1	63466	64374	+	909	183	29	1450	596	66	65	36	155	557
gene-LINF_030007500	LR812936.1	66063	74549	+	8487	1342	659	5410	2458	1321	1892	230	882	2449
gene-LINF_030007600	LR812936.1	75418	78423	+	3006	569	56	4512	1821	100	130	117	382	1621
gene-LINF_030007900	LR812936.1	84864	91082	+	6219	1019	0	3548	1282	0	0	113	668	1011
gene-LINF_030008000	LR812936.1	92094	95225	+	3132	1240	176	7176	2871	291	609	156	678	2187
gene-LINF_030008100	LR812936.1	96441	98333	+	1893	408	51	2714	1083	70	93	66	281	836
gene-LINF_030008200	LR812936.1	99209	100237	+	1029	435	195	2966	1148	223	473	74	247	933
gene-LINF_030008300	LR812936.1	101393	105934	+	4542	1181	201	5408	2065	371	631	149	765	1529
gene-LINF_030008400	LR812936.1	110088	115043	+	4956	1194	9	5837	1449	27	65	194	724	1511
gene-LINF_030008500	LR812936.1	118674	119606	+	933	563	52	2961	1041	115	106	54	286	926
gene-LINF_030008600	LR812936.1	122053	123165	+	1113	1409	141	3489	1343	416	369	163	896	738
gene-LINF_030008650	LR812936.1	126402	127172	+	771	550	24	2844	909	58	52	40	317	437
gene-LINF_030008700	LR812936.1	127953	128864	+	912	1459	154	4993	2282	401	338	178	978	796
gene-LINF_030008800	LR812936.1	131963	134005	+	2043	1896	807	6984	2122	2043	2374	347	1477	3170
gene-LINF_030008900	LR812936.1	137121	142136	+	5016	1071	24	7647	2507	48	86	197	690	2327
gene-LINF_030009000	LR812936.1	143151	143483	+	333	4110	6215	18504	6886	5669	8630	910	2515	8161
gene-LINF_030009100	LR812936.1	144385	144720	+	336	4673	5623	21168	7990	5555	7896	964	2715	9382
gene-LINF_030009200	LR812936.1	145591	150666	+	5076	1282	68	6154	2368	143	206	192	765	1625
gene-LINF_030009300	LR812936.1	156987	160169	+	3183	323	10	1549	445	19	37	80	234	504
gene-LINF_030009400	LR812936.1	162280	162555	+	276	87	0	886	314	0	0	20	60	312
gene-LINF_030009500	LR812936.1	165090	167963	+	2874	706	12	3349	1184	50	41	144	446	1766
gene-LINF_030009600	LR812936.1	169478	172507	+	3030	930	162	5315	1770	303	396	144	613	1895
gene-LINF_030009700	LR812936.1	174272	177346	+	3075	1413	317	6252	2333	633	746	191	729	1573
gene-LINF_030009800	LR812936.1	178685	180403	+	1719	892	95	3232	1363	160	245	93	505	1030
gene-LINF_030009900	LR812936.1	183785	191212	+	7428	1718	190	9166	3081	402	735	273	976	2360
gene-LINF_030010000	LR812936.1	191939	194512	+	2574	1407	351	6228	1698	685	990	242	778	2357
gene-LINF_030010100	LR812936.1	196442	202576	+	6135	2081	627	9175	2604	1278	1695	319	1132	3115
gene-LINF_030010200	LR812936.1	204236	205426	+	1191	1598	363	5567	2099	590	1111	243	936	1891
gene-LINF_030010300	LR812936.1	206907	211043	+	4137	1436	0	9773	3617	0	0	214	772	2446
gene-LINF_030010400	LR812936.1	212518	214668	+	2151	866	133	2847	1239	231	314	107	506	695
gene-LINF_030010500	LR812936.1	217427	218425	+	999	463	56	3152	1168	155	159	100	252	1215
gene-LINF_030010600	LR812936.1	218838	219374	+	537	760	194	3705	993	432	655	107	397	1446
gene-LINF_030010700	LR812936.1	221241	225278	+	4038	1173	287	5658	1876	721	906	192	690	1834
gene-LINF_030010800	LR812936.1	225931	227148	+	1218	1449	530	5528	1332	1284	1229	262	715	3403
gene-LINF_030010900	LR812936.1	228197	229246	+	1050	1170	385	4914	1686	895	1172	154	550	1756
gene-LINF_030011000	LR812936.1	230112	232139	+	2028	704	282	2730	873	742	965	94	441	833
gene-LINF_030011200	LR812936.1	233765	234751	+	987	878	221	3972	1324	373	642	113	517	1262
gene-LINF_030011300	LR812936.1	235494	237320	+	1827	1019	335	4096	1202	662	967	186	557	1933
gene-LINF_030011400	LR812936.1	239761	242430	+	2670	1604	267	7259	2677	519	816	215	874	2124
gene-LINF_030011500	LR812936.1	244012	246408	+	2397	1804	817	7842	2597	1582	2650	229	1027	2192
gene-LINF_030011600	LR812936.1	247412	249112	+	1701	239	56	1831	561	107	168	43	172	625
gene-LINF_030011700	LR812936.1	259430	260290	+	861	182	52	1483	495	107	106	36	99	478
gene-LINF_030011800	LR812936.1	261697	261769	+	73	0	0	1	0	0	0	0	0	0
gene-LINF_030011900	LR812936.1	262551	269183	-	6633	5065	3915	17224	4725	10099	8676	1062	3196	9782
gene-LINF_030012000	LR812936.1	269997	278678	-	8682	2457	410	9223	3292	674	1087	338	1499	2704
gene-LINF_030012100	LR812936.1	279569	280255	-	687	436	58	3371	1371	44	223	68	279	861
gene-LINF_030012200	LR812936.1	280816	283455	-	2640	720	90	4552	1552	129	184	109	471	1422
gene-LINF_030012300	LR812936.1	285568	286782	-	1215	393	40	3269	1326	48	104	59	210	963
gene-LINF_030012400	LR812936.1	287693	287947	-	255	319	51	1453	363	100	110	47	171	668
gene-LINF_030012500	LR812936.1	288685	290835	-	2151	905	114	4691	1362	147	260	137	509	1694
gene-LINF_030012600	LR812936.1	291654	292607	-	954	381	14	2296	852	30	71	66	233	637
gene-LINF_030012700	LR812936.1	293362	295008	-	1647	474	176	2474	972	256	415	76	345	855
gene-LINF_030012800	LR812936.1	295790	305305	-	9516	2906	391	12728	4697	725	1198	435	1804	4067
gene-LINF_030012900	LR812936.1	306816	308123	-	1308	437	48	2839	1205	70	157	79	244	1161
gene-LINF_030013000	LR812936.1	308985	316166	-	7182	1933	399	8804	3255	665	1203	234	1286	2671
gene-LINF_030013100	LR812936.1	317492	320773	-	3282	527	68	4717	1653	118	186	96	303	1610
gene-LINF_030013200	LR812936.1	321555	330269	-	8715	1312	186	8177	3101	414	560	199	926	2470
gene-LINF_030013300	LR812936.1	331033	332892	-	1860	344	0	2877	996	0	0	42	180	937
gene-LINF_030013400	LR812936.1	335292	336479	-	1188	209	108	1156	402	175	281	24	128	321
gene-LINF_030013500	LR812936.1	337567	340476	-	2910	898	363	4232	1000	886	978	128	467	1305
gene-LINF_030013600	LR812936.1	341321	348433	-	7113	1228	109	7088	2637	171	322	180	819	2106
gene-LINF_030013700	LR812936.1	349457	353806	-	4350	594	186	4323	1367	402	536	105	328	1281
gene-LINF_030013800	LR812936.1	354747	358913	-	4167	560	129	4456	1389	355	379	103	300	1517
gene-LINF_030013900	LR812936.1	359865	365870	-	6006	907	200	4902	1586	480	575	139	520	1898
gene-LINF_030014000	LR812936.1	366629	368848	-	2220	565	159	4017	1256	365	353	90	352	1461
gene-LINF_030014100	LR812936.1	370888	372030	-	1143	612	214	3443	974	516	543	102	299	1212
gene-LINF_030014200	LR812936.1	373190	373870	-	681	562	199	4605	1543	257	475	69	270	1517
gene-LINF_030014300	LR812936.1	374710	375366	-	657	468	180	2402	822	308	532	68	263	875
gene-LINF_030014400	LR812936.1	376432	378525	-	2094	809	196	5260	1887	494	673	112	405	1621
gene-LINF_030014500	LR812936.1	379122	380108	-	987	293	40	2865	1006	59	115	60	165	667
gene-LINF_030014600	LR812936.1	381594	383501	-	1908	946	261	5336	1771	455	733	153	546	1682
gene-LINF_030014700	LR812936.1	384129	384443	-	315	1501	845	6874	2655	1465	1608	412	1012	3727
gene-LINF_030014800	LR812936.1	384987	385964	-	978	944	111	6773	2540	195	321	116	399	1958
gene-LINF_030014900	LR812936.1	386699	387940	-	1242	4953	971	23742	6357	1671	2541	855	2869	9528
gene-LINF_040005000	LR812937.1	4158	7229	+	3072	2951	347	9118	2307	1108	845	546	1587	4216
gene-LINF_040005100	LR812937.1	9334	10221	+	888	707	20	8235	2093	39	386	86	388	551
gene-LINF_040005200	LR812937.1	12245	14419	+	2175	1679	193	3618	1209	296	485	183	787	1174
gene-LINF_040005300	LR812937.1	15411	15632	+	222	557	0	2016	822	0	0	81	260	495
gene-LINF_040005400	LR812937.1	16136	17455	+	1320	2480	168	4621	1422	294	458	349	1811	845
gene-LINF_040005500	LR812937.1	21489	21992	+	504	388	47	992	440	48	36	45	214	391
gene-LINF_040005600	LR812937.1	23132	24721	+	1590	2729	255	5356	2194	353	651	365	1520	1729
gene-LINF_040005700	LR812937.1	26834	27622	+	789	734	154	1836	537	354	385	116	464	551
gene-LINF_040005800	LR812937.1	28562	29299	+	738	785	77	2233	761	115	161	122	391	763
gene-LINF_040005900	LR812937.1	29986	30462	+	477	441	42	1268	612	43	64	65	227	600
gene-LINF_040006000	LR812937.1	31559	37177	+	5619	2489	141	5583	1536	319	409	373	1582	2800
gene-LINF_040006100	LR812937.1	38331	40064	+	1734	1084	280	1900	610	279	940	205	837	636
gene-LINF_040006200	LR812937.1	41166	42209	+	1044	864	71	2259	786	130	165	127	488	756
gene-LINF_040006300	LR812937.1	42964	43866	+	903	1258	149	2035	719	261	430	184	671	931
gene-LINF_040006400	LR812937.1	44830	45306	+	477	1123	381	1953	611	654	1078	159	711	762
gene-LINF_040006500	LR812937.1	46275	47579	+	1305	1523	26	3278	1130	41	54	232	963	1261
gene-LINF_040006600	LR812937.1	48073	49659	+	1587	2100	26	1860	646	57	135	139	1084	416
