Geneid	Chr	Start	End	Strand	Length	../hyb2/mark_duplicates/hyb2.sorted.markdup.bam	../tar3/mark_duplicates/tar3.sorted.markdup.bam	../hyb1/mark_duplicates/hyb1.sorted.markdup.bam	../tar2/mark_duplicates/tar2.sorted.markdup.bam	../hyb3/mark_duplicates/hyb3.sorted.markdup.bam	../tar1/mark_duplicates/tar1.sorted.markdup.bam
gene-LtaPh_0104800	BLBS01000001.1	137127	139214	+	2088	2523	1737	4629	1019	652	2741
gene-LtaPh_0104900	BLBS01000001.1	140520	142031	+	1512	1490	1256	2154	1092	367	3215
gene-LtaPh_0105000	BLBS01000001.1	143944	146040	+	2097	1928	987	3204	413	365	1124
gene-LtaPh_0105200	BLBS01000001.1	154470	159116	+	4647	1940	881	2963	604	298	1710
gene-LtaPh_0105300	BLBS01000001.1	160244	162187	+	1944	1339	627	1964	400	191	1195
gene-LtaPh_0105400	BLBS01000001.1	165750	166868	+	1119	1763	1155	3455	733	396	2160
gene-LtaPh_0105500	BLBS01000001.1	167856	169691	+	1836	941	781	1471	388	169	1085
gene-LtaPh_0105600	BLBS01000001.1	170312	171292	+	981	1423	1008	2028	541	306	1349
gene-LtaPh_0105700	BLBS01000001.1	172035	174905	+	2871	964	641	1477	443	172	1270
gene-LtaPh_0105751	BLBS01000001.1	175725	177188	+	1464	1093	724	1701	475	256	963
gene-LtaPh_0105800	BLBS01000001.1	177818	183346	+	5529	2727	1970	4279	1191	547	3435
gene-LtaPh_0105900	BLBS01000001.1	183932	185146	+	1215	1287	746	2018	528	284	1537
gene-LtaPh_0106000	BLBS01000001.1	185308	187515	+	2208	2026	977	3140	824	365	2551
gene-LtaPh_0106100	BLBS01000001.1	189495	191576	+	2082	2638	1347	4223	877	597	2497
gene-LtaPh_0106200	BLBS01000001.1	193115	196426	+	3312	2909	2659	4632	1467	888	4013
gene-LtaPh_0106300	BLBS01000001.1	197413	198915	+	1503	1950	2051	2917	1108	438	2700
gene-LtaPh_0106400	BLBS01000001.1	200445	204329	+	3885	2546	1551	4293	1026	603	2946
gene-LtaPh_0106500	BLBS01000001.1	204814	206184	+	1371	1025	606	1616	360	190	1347
gene-LtaPh_0106600	BLBS01000001.1	210286	212073	+	1788	1792	1396	3383	772	473	2406
gene-LtaPh_0106700	BLBS01000001.1	213411	214670	+	1260	1280	839	2226	514	217	1580
gene-LtaPh_0106800	BLBS01000001.1	216013	217599	+	1587	838	675	1389	507	214	1222
gene-LtaPh_0106900	BLBS01000001.1	218077	222879	+	4803	2088	1828	3527	918	520	2603
gene-LtaPh_0107000	BLBS01000001.1	223715	230596	+	6882	2747	2895	4471	1369	729	4411
gene-LtaPh_0107100	BLBS01000001.1	230867	233398	+	2532	1907	1714	3259	858	553	2636
gene-LtaPh_0107200	BLBS01000001.1	234929	238588	+	3660	1972	1916	3493	870	510	2779
gene-LtaPh_0107300	BLBS01000001.1	239200	240249	+	1050	620	486	941	285	165	854
gene-LtaPh_0107400	BLBS01000001.1	240750	241961	+	1212	16069	8010	25491	4678	3264	11437
gene-LtaPh_0107451	BLBS01000001.1	243835	245046	+	1212	16286	8275	25433	4528	3352	11537
gene-LtaPh_0107500	BLBS01000001.1	246091	247956	+	1866	2081	1380	3811	841	499	2791
gene-LtaPh_0107600	BLBS01000001.1	249894	251063	+	1170	1274	1049	2285	634	322	1571
gene-LtaPh_0107700	BLBS01000001.1	252627	255665	+	3039	2139	1607	3553	758	514	2238
gene-LtaPh_0107800	BLBS01000001.1	257656	261084	+	3429	2002	1309	3496	666	482	2339
gene-LtaPh_3510200	BLBS01000002.1	2230	2388	-	159	36	98	50	65	6	193
gene-LtaPh_0200100	BLBS01000002.1	3971	4627	-	657	140	471	231	306	23	1009
gene-LtaPh_0200200	BLBS01000002.1	5266	5832	-	567	139	942	210	575	21	1286
gene-LtaPh_0200300	BLBS01000002.1	6455	7624	-	1170	61	858	159	518	24	1267
gene-LtaPh_0200400	BLBS01000002.1	10012	13320	-	3309	325	3348	552	1752	69	4781
gene-LtaPh_0200500	BLBS01000002.1	14727	15929	-	1203	76	586	130	378	18	957
gene-LtaPh_0200600	BLBS01000002.1	16645	17709	-	1065	199	2001	369	1317	80	2701
gene-LtaPh_0200700	BLBS01000002.1	22420	25290	-	2871	230	902	452	409	38	1537
gene-LtaPh_0200800	BLBS01000002.1	27646	31146	-	3501	290	3685	483	1517	65	3941
gene-LtaPh_0200900	BLBS01000002.1	33021	37220	-	4200	238	2230	413	1044	58	2861
gene-LtaPh_0200951	BLBS01000002.1	37141	47754	-	10614	217	3151	417	1329	70	3538
gene-LtaPh_0201000	BLBS01000002.1	48822	49541	-	720	118	842	270	539	43	1303
gene-LtaPh_0201100	BLBS01000002.1	50544	53243	-	2700	240	2106	512	977	69	3384
gene-LtaPh_0201200	BLBS01000002.1	54482	60277	-	5796	309	3606	652	1500	106	4512
gene-LtaPh_0201281	BLBS01000002.1	62528	64996	-	2469	20	730	43	275	0	802
gene-LtaPh_0201361	BLBS01000002.1	62660	64387	+	1728	4	8	3	3	1	19
gene-LtaPh_0201441	BLBS01000002.1	74203	75492	-	1290	2	998	8	399	1	1063
gene-LtaPh_0201521	BLBS01000002.1	79098	80369	-	1272	13	407	30	152	5	424
gene-LtaPh_0201600	BLBS01000002.1	84706	87681	-	2976	359	1548	465	415	106	1271
gene-LtaPh_0201700	BLBS01000002.1	89613	92954	-	3342	645	2562	1262	1765	201	5291
gene-LtaPh_0201800	BLBS01000002.1	93765	96788	-	3024	683	4446	1375	1889	207	5432
gene-LtaPh_0201900	BLBS01000002.1	99012	99419	-	408	123	422	179	330	21	891
gene-LtaPh_0202000	BLBS01000002.1	100958	101431	-	474	67	517	148	261	21	804
gene-LtaPh_0202101	BLBS01000002.1	100980	101468	+	489	0	0	0	1	0	1
gene-LtaPh_0202200	BLBS01000002.1	103252	103752	-	501	221	842	412	626	43	1891
gene-LtaPh_0202100	BLBS01000002.1	104603	106210	-	1608	542	1802	913	1304	155	3472
gene-LtaPh_0202300	BLBS01000002.1	110129	117982	-	7854	2197	5240	4612	1750	493	4692
gene-LtaPh_0202400	BLBS01000002.1	119996	122083	-	2088	1918	2332	3515	1695	253	4851
gene-LtaPh_0202501	BLBS01000002.1	123084	124433	-	1350	363	2034	671	1235	93	2609
gene-LtaPh_0202600	BLBS01000002.1	124906	129528	-	4623	911	6735	1474	2606	261	6508
gene-LtaPh_0202700	BLBS01000002.1	130705	133614	-	2910	642	3228	924	1932	169	4341
gene-LtaPh_0202800	BLBS01000002.1	134717	137950	-	3234	494	2198	786	1409	121	3727
gene-LtaPh_0202900	BLBS01000002.1	139678	140814	-	1137	450	1774	811	1133	112	2733
gene-LtaPh_0203000	BLBS01000002.1	142430	144019	-	1590	646	2604	1051	1641	146	4114
gene-LtaPh_0203100	BLBS01000002.1	145088	146473	-	1386	380	1705	553	1195	89	2672
gene-LtaPh_0203200	BLBS01000002.1	147929	148600	-	672	312	879	436	779	53	1769
gene-LtaPh_0203251	BLBS01000002.1	147941	148591	+	651	0	0	3	1	1	1
gene-LtaPh_0203300	BLBS01000002.1	149921	153283	-	3363	1020	3099	1566	2033	199	5234
gene-LtaPh_0203400	BLBS01000002.1	154475	157489	-	3015	665	2772	944	1710	150	4603
gene-LtaPh_0203500	BLBS01000002.1	159313	160407	-	1095	462	1119	778	1117	82	2684
gene-LtaPh_0203600	BLBS01000002.1	161469	162560	-	1092	412	1271	581	734	100	1129
gene-LtaPh_0203700	BLBS01000002.1	164734	165246	-	513	98	223	141	121	16	273
gene-LtaPh_0203800	BLBS01000002.1	168533	169360	-	828	214	598	293	378	48	978
gene-LtaPh_0203900	BLBS01000002.1	172367	173242	-	876	2571	9158	4576	4565	658	13231
gene-LtaPh_0204000	BLBS01000002.1	174762	185330	-	10569	1266	5242	2167	2821	280	8453
gene-LtaPh_0204061	BLBS01000002.1	186445	187050	-	606	99	618	110	244	20	588
gene-LtaPh_0204121	BLBS01000002.1	187811	190309	-	2499	142	878	221	369	27	996
gene-LtaPh_0204200	BLBS01000002.1	190705	191250	-	546	40	203	46	71	6	205
gene-LtaPh_0204300	BLBS01000002.1	191800	194607	-	2808	371	1861	677	818	76	2446
gene-LtaPh_0204400	BLBS01000002.1	195956	196471	-	516	267	927	494	546	52	1753
gene-LtaPh_0204551	BLBS01000002.1	198145	204369	-	6225	1364	6268	2311	2948	248	9166
gene-LtaPh_0204700	BLBS01000002.1	213453	214937	-	1485	664	2242	1133	1048	116	2720
gene-LtaPh_0204800	BLBS01000002.1	216739	217926	-	1188	694	1555	1704	1465	143	5896
gene-LtaPh_0204900	BLBS01000002.1	218502	221036	-	2535	358	2299	858	1021	118	3266
gene-LtaPh_0205000	BLBS01000002.1	224584	228909	-	4326	229	1662	423	597	57	1758
gene-LtaPh_0205100	BLBS01000002.1	242643	253973	+	11331	808	7266	1821	2395	243	7953
gene-LtaPh_0205251	BLBS01000002.1	254593	256350	+	1758	267	1136	564	438	64	1656
gene-LtaPh_0205400	BLBS01000002.1	261188	263368	+	2181	258	1934	540	863	98	2158
gene-LtaPh_0205500	BLBS01000002.1	263893	266271	+	2379	199	1044	400	527	34	1565
gene-LtaPh_0205600	BLBS01000002.1	269563	271932	+	2370	226	1290	429	487	57	1568
gene-LtaPh_0205700	BLBS01000002.1	272450	273400	+	951	221	774	338	351	61	1076
gene-LtaPh_0205900	BLBS01000002.1	278066	278986	+	921	482	2798	644	1085	106	2689
gene-LtaPh_0206000	BLBS01000002.1	281708	282232	+	525	71	419	121	252	23	626
gene-LtaPh_0206061	BLBS01000002.1	283027	285840	+	2814	658	2240	1294	1195	132	4204
gene-LtaPh_0206121	BLBS01000002.1	287323	287943	+	621	112	550	192	493	26	885
gene-LtaPh_0206200	BLBS01000002.1	290668	290994	+	327	41	80	58	29	12	75
gene-LtaPh_0206251	BLBS01000002.1	290672	291094	+	423	89	190	154	72	21	279
gene-LtaPh_0206300	BLBS01000002.1	291681	291941	+	261	63	146	66	71	9	212
gene-LtaPh_0300200	BLBS01000003.1	3311	4117	+	807	293	621	597	452	99	1614
gene-LtaPh_0300300	BLBS01000003.1	4752	6071	+	1320	542	2002	1093	979	143	2296
gene-LtaPh_0300400	BLBS01000003.1	6962	8107	+	1146	390	2169	712	816	114	2983
gene-LtaPh_0300500	BLBS01000003.1	11410	12582	+	1173	227	1319	471	698	51	1943
gene-LtaPh_0300600	BLBS01000003.1	13391	15892	+	2502	533	2968	1001	1247	169	3428
gene-LtaPh_0300700	BLBS01000003.1	16404	18557	+	2154	746	4040	1585	1682	182	5226
gene-LtaPh_0300800	BLBS01000003.1	19829	21532	+	1704	242	1831	477	590	76	1864
gene-LtaPh_0300900	BLBS01000003.1	22665	23423	+	759	274	1163	541	630	62	1819
gene-LtaPh_0301000	BLBS01000003.1	24825	27443	+	2619	288	2008	555	709	73	2445
gene-LtaPh_0301100	BLBS01000003.1	28228	31011	+	2784	322	1700	584	732	78	2525
gene-LtaPh_0301200	BLBS01000003.1	32015	32569	+	555	228	1191	421	547	64	1234
gene-LtaPh_0301300	BLBS01000003.1	32975	33892	+	918	176	690	349	431	40	1462
gene-LtaPh_0301400	BLBS01000003.1	35066	36001	+	936	317	1993	735	1004	92	2796
gene-LtaPh_0301500	BLBS01000003.1	36583	39024	+	2442	766	3443	1323	1564	255	4688
gene-LtaPh_0301600	BLBS01000003.1	39959	40657	+	699	211	857	425	569	48	1443
gene-LtaPh_0301700	BLBS01000003.1	41377	43248	+	1872	272	1565	385	600	53	1742
gene-LtaPh_0301800	BLBS01000003.1	44151	44783	+	633	351	1987	623	897	107	2409
gene-LtaPh_0301900	BLBS01000003.1	46581	48263	+	1683	2214	10470	2995	5345	670	11125
gene-LtaPh_0302000	BLBS01000003.1	50177	51316	+	1140	425	2038	662	1209	90	2976
gene-LtaPh_0302100	BLBS01000003.1	51758	53218	+	1461	447	1560	666	890	103	2272
gene-LtaPh_0302200	BLBS01000003.1	54051	56168	+	2118	1410	2617	2413	1489	259	4615
gene-LtaPh_0302300	BLBS01000003.1	59608	60072	+	465	130	521	217	399	37	1332
gene-LtaPh_2623700	BLBS01000003.1	60679	60930	+	252	2035	11124	3740	9877	688	16269
gene-LtaPh_0302500	BLBS01000003.1	62146	63186	+	1041	160	736	221	393	26	1022
gene-LtaPh_0302561	BLBS01000003.1	64374	70205	+	5832	661	3604	1064	2014	136	5650
gene-LtaPh_0302621	BLBS01000003.1	64865	69016	-	4152	4	35	12	17	3	49
gene-LtaPh_0302681	BLBS01000003.1	64932	68747	-	3816	4	35	12	17	3	48
gene-LtaPh_0302741	BLBS01000003.1	64936	68607	-	3672	4	35	12	17	3	48
gene-LtaPh_0302800	BLBS01000003.1	71002	74025	+	3024	436	2271	582	1375	79	3440
gene-LtaPh_0302900	BLBS01000003.1	78542	84553	+	6012	1281	5099	1837	3188	239	8833
gene-LtaPh_0303000	BLBS01000003.1	85615	88587	+	2973	667	2152	1215	1560	137	4749
gene-LtaPh_0303100	BLBS01000003.1	89334	91658	+	2325	337	1148	434	807	56	1917
gene-LtaPh_0303200	BLBS01000003.1	92326	93363	+	1038	285	1284	496	1048	79	2506
gene-LtaPh_0303300	BLBS01000003.1	93915	98708	+	4794	732	3268	1115	1947	140	5285
gene-LtaPh_0303400	BLBS01000003.1	102130	107097	+	4968	842	3314	1162	2153	169	6492
gene-LtaPh_0303500	BLBS01000003.1	111903	112823	+	921	459	1802	784	808	124	2164
gene-LtaPh_0303571	BLBS01000003.1	111906	113276	-	1371	0	14	4	3	1	13
gene-LtaPh_0303641	BLBS01000003.1	115942	117000	+	1059	1805	2553	2756	762	202	2432
gene-LtaPh_0303711	BLBS01000003.1	120912	122108	+	1197	1230	777	1716	375	153	1186
gene-LtaPh_0303800	BLBS01000003.1	124567	126312	+	1746	2238	8238	3514	3299	563	10751
gene-LtaPh_0303900	BLBS01000003.1	128607	133733	+	5127	854	3254	1375	1930	216	6292
gene-LtaPh_0304000	BLBS01000003.1	134697	135032	+	336	1375	7090	2393	7511	496	13828
gene-LtaPh_0304031	BLBS01000003.1	135645	135980	+	336	1449	6637	2394	7318	434	13318
gene-LtaPh_0304061	BLBS01000003.1	136594	136929	+	336	1641	7958	2745	9385	559	14751
gene-LtaPh_0304100	BLBS01000003.1	137840	142927	+	5088	744	3356	1435	1677	150	5256
gene-LtaPh_0304200	BLBS01000003.1	149060	152176	+	3117	91	567	115	268	27	743
gene-LtaPh_0304300	BLBS01000003.1	155832	158645	+	2814	678	3690	1175	1852	186	5191
gene-LtaPh_0304400	BLBS01000003.1	159789	162815	+	3027	539	2594	878	1263	144	4047
gene-LtaPh_0304500	BLBS01000003.1	164183	167167	+	2985	698	3321	1272	1441	156	4075
gene-LtaPh_0304600	BLBS01000003.1	168521	170239	+	1719	366	1077	530	618	56	1665
gene-LtaPh_0304700	BLBS01000003.1	172990	180360	+	7371	1120	5761	2100	2843	258	9243
gene-LtaPh_0304800	BLBS01000003.1	181074	183608	+	2535	686	4307	1283	2114	231	5591
gene-LtaPh_0304900	BLBS01000003.1	185007	191495	+	6489	1571	9511	2516	4305	415	12203
gene-LtaPh_0305000	BLBS01000003.1	193068	194258	+	1191	361	1407	657	857	74	2737
gene-LtaPh_0305100	BLBS01000003.1	198093	200138	+	2046	652	2618	1119	1324	108	3779
gene-LtaPh_0305200	BLBS01000003.1	201228	202226	+	999	293	1218	613	688	111	1691
gene-LtaPh_0305300	BLBS01000003.1	202497	203222	+	726	365	2389	762	1028	110	3101
gene-LtaPh_0305400	BLBS01000003.1	204825	209012	+	4188	901	5273	1623	2211	246	6954
gene-LtaPh_0305500	BLBS01000003.1	209406	210815	+	1410	759	5926	1600	2477	217	6965
gene-LtaPh_0305600	BLBS01000003.1	211782	212828	+	1047	607	3242	1109	1595	181	4268
gene-LtaPh_0305700	BLBS01000003.1	213451	215799	+	2349	483	3091	934	1306	129	3535
gene-LtaPh_0305800	BLBS01000003.1	216972	218138	+	1167	386	1100	704	700	78	1960
gene-LtaPh_0305900	BLBS01000003.1	218873	220648	+	1776	355	2516	597	1160	110	3192
gene-LtaPh_0306000	BLBS01000003.1	222920	225532	+	2613	796	3358	1378	1651	151	4745
gene-LtaPh_0306100	BLBS01000003.1	226413	228734	+	2322	1097	4922	2103	2523	252	8261
gene-LtaPh_0306200	BLBS01000003.1	229650	231947	+	2298	108	431	203	241	23	608
gene-LtaPh_0306300	BLBS01000003.1	241976	242836	+	861	66	299	105	165	22	406
gene-LtaPh_0306400	BLBS01000003.1	245137	251754	-	6618	3460	23478	5363	9017	996	22240
gene-LtaPh_0306500	BLBS01000003.1	252607	260991	-	8385	1102	4958	1751	2700	224	8004
gene-LtaPh_0306600	BLBS01000003.1	261900	262832	-	933	219	435	312	474	52	2003
gene-LtaPh_0306700	BLBS01000003.1	263138	266914	-	3777	479	2161	722	1518	107	3335
gene-LtaPh_0306800	BLBS01000003.1	267756	268949	-	1194	208	660	379	570	39	1656
gene-LtaPh_0306851	BLBS01000003.1	269675	269914	+	240	0	2	1	0	0	0
gene-LtaPh_0306900	BLBS01000003.1	269687	269929	-	243	106	509	182	278	35	681
gene-LtaPh_0307000	BLBS01000003.1	270733	273006	-	2274	471	2228	856	1440	99	3948
gene-LtaPh_0307100	BLBS01000003.1	273745	274719	-	975	191	774	270	433	34	1231
gene-LtaPh_0307200	BLBS01000003.1	275304	277343	-	2040	349	1449	507	1042	88	2352
gene-LtaPh_0307300	BLBS01000003.1	277752	287006	-	9255	2010	9830	3265	5532	404	16569
gene-LtaPh_0307400	BLBS01000003.1	288430	289815	-	1386	323	1067	463	797	69	1760
gene-LtaPh_0307500	BLBS01000003.1	290651	298039	-	7389	1026	4639	1477	2753	151	8633
gene-LtaPh_0307600	BLBS01000003.1	299212	302316	-	3105	274	1609	436	856	73	2461
gene-LtaPh_0307700	BLBS01000003.1	302935	311796	-	8862	1071	5650	1459	2698	201	8159
gene-LtaPh_0307800	BLBS01000003.1	315582	316763	-	1182	159	679	203	414	31	1026
gene-LtaPh_0307900	BLBS01000003.1	317778	320555	-	2778	457	4115	855	1589	107	4315
gene-LtaPh_0308000	BLBS01000003.1	322177	327993	-	5817	1149	4545	1604	2197	226	6612
gene-LtaPh_0308100	BLBS01000003.1	329178	333986	-	4809	374	2935	764	1398	120	4177
gene-LtaPh_0308200	BLBS01000003.1	334336	338436	-	4101	299	2352	525	876	82	2901
gene-LtaPh_0308300	BLBS01000003.1	339236	345226	-	5991	542	3617	991	1404	134	3833
gene-LtaPh_0308400	BLBS01000003.1	345855	348014	-	2160	334	2033	612	854	93	2257
gene-LtaPh_0308500	BLBS01000003.1	350059	351177	-	1119	186	1655	446	762	62	2114
gene-LtaPh_0308600	BLBS01000003.1	352350	353141	-	792	161	862	357	641	57	1728
gene-LtaPh_0308700	BLBS01000003.1	353774	354430	-	657	176	833	347	459	54	1362
gene-LtaPh_0308800	BLBS01000003.1	355456	357549	-	2094	276	1693	528	694	64	2342
gene-LtaPh_0308900	BLBS01000003.1	358187	359152	-	966	106	601	316	325	43	927
gene-LtaPh_0309000	BLBS01000003.1	361652	363559	-	1908	593	3148	1233	1829	170	5655
gene-LtaPh_0309100	BLBS01000003.1	364221	364535	-	315	926	4086	1417	2379	311	5264
gene-LtaPh_0309200	BLBS01000003.1	365042	366019	-	978	492	1864	1169	931	127	3200
gene-LtaPh_0309300	BLBS01000003.1	366745	367986	-	1242	1891	7350	3352	4412	536	12258
gene-LtaPh_0309351	BLBS01000003.1	366811	367842	+	1032	5	4	3	4	1	7
gene-LtaPh_0400100	BLBS01000004.1	3306	6557	+	3252	1388	5468	2402	1654	454	4251
gene-LtaPh_0400200	BLBS01000004.1	9079	9366	+	288	103	235	174	103	30	310
gene-LtaPh_0400300	BLBS01000004.1	10906	13704	+	2799	831	2230	1702	1230	178	3552
gene-LtaPh_0400400	BLBS01000004.1	15493	16812	+	1320	777	1809	1044	1017	170	3302
gene-LtaPh_0400500	BLBS01000004.1	20762	21496	+	735	362	683	520	785	101	902
gene-LtaPh_0400600	BLBS01000004.1	22641	24041	+	1401	1033	2287	1622	1441	221	4492
gene-LtaPh_0400700	BLBS01000004.1	26359	27144	+	786	461	1270	680	588	144	1739
gene-LtaPh_0400800	BLBS01000004.1	28085	28822	+	738	282	893	716	534	99	1332
gene-LtaPh_0400900	BLBS01000004.1	29449	29925	+	477	249	693	487	467	59	946
gene-LtaPh_0401000	BLBS01000004.1	31137	36710	+	5574	1002	3693	1818	1641	219	4417
gene-LtaPh_0401100	BLBS01000004.1	37935	39665	+	1731	747	798	933	736	180	2280
gene-LtaPh_0401200	BLBS01000004.1	40406	41449	+	1044	238	801	454	450	87	1084
gene-LtaPh_0401300	BLBS01000004.1	41983	42981	+	999	208	783	438	575	48	1279
gene-LtaPh_0401400	BLBS01000004.1	44038	44514	+	477	267	641	400	361	63	1061
gene-LtaPh_0401500	BLBS01000004.1	45469	46737	+	1269	648	1191	810	845	131	2169
gene-LtaPh_0401581	BLBS01000004.1	47011	48900	+	1890	7368	704	13653	311	789	1257
gene-LtaPh_0401661	BLBS01000004.1	50094	52115	+	2022	7205	693	14062	336	832	1250
gene-LtaPh_0401741	BLBS01000004.1	54139	55524	+	1386	2719	1052	4230	711	414	2147
gene-LtaPh_0401821	BLBS01000004.1	56296	58296	+	2001	3666	1334	6325	833	575	2788
gene-LtaPh_0401900	BLBS01000004.1	58957	59886	+	930	1223	424	2492	213	150	697
gene-LtaPh_0402000	BLBS01000004.1	62699	63532	+	834	1417	207	2667	124	189	447
gene-LtaPh_0402100	BLBS01000004.1	65970	67028	+	1059	1062	662	1996	467	152	1665
gene-LtaPh_0402200	BLBS01000004.1	69157	69945	+	789	4212	1220	7102	864	620	3055
gene-LtaPh_0402300	BLBS01000004.1	70744	72024	+	1281	2171	3380	3137	2046	378	4806
gene-LtaPh_0402400	BLBS01000004.1	76992	78098	+	1107	330	937	590	580	52	1504
gene-LtaPh_0402451	BLBS01000004.1	78695	79453	+	759	218	720	458	426	68	1120
gene-LtaPh_0402500	BLBS01000004.1	80148	81590	+	1443	1144	2831	1985	2033	313	4941
gene-LtaPh_0402600	BLBS01000004.1	82144	87498	+	5355	1509	3661	2562	2373	303	6541
gene-LtaPh_0402700	BLBS01000004.1	89251	90594	+	1344	603	1129	1038	869	90	2597
gene-LtaPh_0402800	BLBS01000004.1	91269	92909	+	1641	605	1249	1162	952	123	2775
gene-LtaPh_0402851	BLBS01000004.1	93481	95541	-	2061	0	6	9	1	3	7
