Geneid	Chr	Start	End	Strand	Length	hyb3/mark_duplicates/hyb3.sorted.markdup.bam	tar1/mark_duplicates/tar1.sorted.markdup.bam	inf3/mark_duplicates/inf3.sorted.markdup.bam	hyb2/mark_duplicates/hyb2.sorted.markdup.bam	tar2/mark_duplicates/tar2.sorted.markdup.bam	tar3/mark_duplicates/tar3.sorted.markdup.bam	hyb1/mark_duplicates/hyb1.sorted.markdup.bam	inf1/mark_duplicates/inf1.sorted.markdup.bam	inf2/mark_duplicates/inf2.sorted.markdup.bam
gene-LtaPh_0105200	BLBS01000001.1	154470	159116	+	4647	298	1710	0	1940	604	881	2963	5	2
gene-LtaPh_0105300	BLBS01000001.1	160244	162187	+	1944	191	1195	0	1339	400	627	1964	0	0
gene-LtaPh_0105400	BLBS01000001.1	165750	166868	+	1119	396	2160	0	1763	733	1155	3455	8	1
gene-LtaPh_0105500	BLBS01000001.1	167856	169691	+	1836	169	1085	0	941	388	781	1471	5	0
gene-LtaPh_0105600	BLBS01000001.1	170312	171292	+	981	306	1349	0	1423	541	1008	2028	6	1
gene-LtaPh_0105700	BLBS01000001.1	172035	174905	+	2871	172	1270	0	964	443	641	1477	7	0
gene-LtaPh_0105751	BLBS01000001.1	175725	177188	+	1464	256	963	1	1093	475	724	1701	9	0
gene-LtaPh_0105800	BLBS01000001.1	177818	183346	+	5529	547	3435	0	2727	1191	1970	4279	9	0
gene-LtaPh_0105900	BLBS01000001.1	183932	185146	+	1215	284	1537	0	1287	528	746	2018	8	0
gene-LtaPh_0106000	BLBS01000001.1	185308	187515	+	2208	365	2551	0	2026	824	977	3140	4	0
gene-LtaPh_0106100	BLBS01000001.1	189495	191576	+	2082	597	2497	0	2638	877	1347	4223	6	1
gene-LtaPh_0106200	BLBS01000001.1	193115	196426	+	3312	888	4013	1	2909	1467	2659	4632	15	0
gene-LtaPh_0106300	BLBS01000001.1	197413	198915	+	1503	438	2700	47	1950	1108	2051	2917	73	28
gene-LtaPh_0106400	BLBS01000001.1	200445	204329	+	3885	603	2946	0	2546	1026	1551	4293	6	0
gene-LtaPh_0106500	BLBS01000001.1	204814	206184	+	1371	190	1347	0	1025	360	606	1616	8	1
gene-LtaPh_0106600	BLBS01000001.1	210286	212073	+	1788	473	2406	1	1792	772	1396	3383	1	0
gene-LtaPh_0106700	BLBS01000001.1	213411	214670	+	1260	217	1580	0	1280	514	839	2226	6	0
gene-LtaPh_0106800	BLBS01000001.1	216013	217599	+	1587	214	1222	0	838	507	675	1389	5	0
gene-LtaPh_0106900	BLBS01000001.1	218077	222879	+	4803	520	2603	0	2088	918	1828	3527	7	0
gene-LtaPh_0107000	BLBS01000001.1	223715	230596	+	6882	729	4411	0	2747	1369	2895	4471	22	3
gene-LtaPh_0107100	BLBS01000001.1	230867	233398	+	2532	553	2636	0	1907	858	1714	3259	6	0
gene-LtaPh_0107200	BLBS01000001.1	234929	238588	+	3660	510	2779	0	1972	870	1916	3493	14	0
gene-LtaPh_0107300	BLBS01000001.1	239200	240249	+	1050	165	854	0	620	285	486	941	7	0
gene-LtaPh_0107400	BLBS01000001.1	240750	241961	+	1212	3264	11437	1639	16069	4678	8010	25491	2850	964
gene-LtaPh_0107451	BLBS01000001.1	243835	245046	+	1212	3352	11537	1703	16286	4528	8275	25433	3046	965
gene-LtaPh_0107500	BLBS01000001.1	246091	247956	+	1866	499	2791	0	2081	841	1380	3811	8	0
gene-LtaPh_0107600	BLBS01000001.1	249894	251063	+	1170	322	1571	0	1274	634	1049	2285	6	0
gene-LtaPh_0107700	BLBS01000001.1	252627	255665	+	3039	514	2238	0	2139	758	1607	3553	15	3
gene-LtaPh_0107800	BLBS01000001.1	257656	261084	+	3429	482	2339	0	2002	666	1309	3496	8	0
gene-LtaPh_3510200	BLBS01000002.1	2230	2388	-	159	6	193	0	36	65	98	50	0	0
gene-LtaPh_0200100	BLBS01000002.1	3971	4627	-	657	23	1009	0	140	306	471	231	2	0
gene-LtaPh_0200200	BLBS01000002.1	5266	5832	-	567	21	1286	0	139	575	942	210	1	0
gene-LtaPh_0200300	BLBS01000002.1	6455	7624	-	1170	24	1267	0	61	518	858	159	1	0
gene-LtaPh_0200400	BLBS01000002.1	10012	13320	-	3309	69	4781	0	325	1752	3348	552	0	0
gene-LtaPh_0200500	BLBS01000002.1	14727	15929	-	1203	18	957	0	76	378	586	130	0	0
gene-LtaPh_0200600	BLBS01000002.1	16645	17709	-	1065	80	2701	0	199	1317	2001	369	2	0
gene-LtaPh_0200700	BLBS01000002.1	22420	25290	-	2871	38	1537	0	230	409	902	452	0	0
gene-LtaPh_0200800	BLBS01000002.1	27646	31146	-	3501	65	3941	0	290	1517	3685	483	0	0
gene-LtaPh_0200900	BLBS01000002.1	33021	37220	-	4200	57	2831	0	235	1035	2197	406	0	0
gene-LtaPh_0200951	BLBS01000002.1	37141	47754	-	10614	69	3508	0	214	1320	3118	410	1	0
gene-LtaPh_0201000	BLBS01000002.1	48822	49541	-	720	43	1303	1	118	539	842	270	1	0
gene-LtaPh_0201100	BLBS01000002.1	50544	53243	-	2700	69	3384	0	240	977	2106	512	0	0
gene-LtaPh_0201200	BLBS01000002.1	54482	60277	-	5796	106	4512	1	309	1500	3606	652	3	0
gene-LtaPh_0201281	BLBS01000002.1	62528	64996	-	2469	0	802	0	20	275	730	43	0	0
gene-LtaPh_0201361	BLBS01000002.1	62660	64387	+	1728	1	19	0	4	3	8	3	0	0
gene-LtaPh_0201441	BLBS01000002.1	74203	75492	-	1290	1	1063	0	2	399	998	8	0	0
gene-LtaPh_0201521	BLBS01000002.1	79098	80369	-	1272	5	424	0	13	152	407	30	0	0
gene-LtaPh_0201600	BLBS01000002.1	84706	87681	-	2976	106	1271	0	359	415	1548	465	3	0
gene-LtaPh_0201700	BLBS01000002.1	89613	92954	-	3342	201	5291	0	645	1765	2562	1262	2	0
gene-LtaPh_0201800	BLBS01000002.1	93765	96788	-	3024	207	5432	0	683	1889	4446	1375	4	0
gene-LtaPh_0201900	BLBS01000002.1	99012	99419	-	408	21	891	0	123	330	422	179	0	0
gene-LtaPh_0202000	BLBS01000002.1	100958	101431	-	474	21	804	0	67	261	517	148	1	0
gene-LtaPh_0202101	BLBS01000002.1	100980	101468	+	489	0	1	0	0	1	0	0	0	0
gene-LtaPh_0202200	BLBS01000002.1	103252	103752	-	501	43	1891	0	221	626	842	412	2	0
gene-LtaPh_0202100	BLBS01000002.1	104603	106210	-	1608	155	3472	0	542	1304	1802	913	2	0
gene-LtaPh_0202300	BLBS01000002.1	110129	117982	-	7854	493	4692	0	2197	1750	5240	4612	5	0
gene-LtaPh_0202400	BLBS01000002.1	119996	122083	-	2088	253	4851	0	1918	1695	2332	3515	5	0
gene-LtaPh_0202501	BLBS01000002.1	123084	124433	-	1350	93	2609	2	363	1235	2034	671	8	3
gene-LtaPh_0202600	BLBS01000002.1	124906	129528	-	4623	261	6508	0	911	2606	6735	1474	3	0
gene-LtaPh_0202700	BLBS01000002.1	130705	133614	-	2910	169	4341	0	642	1932	3228	924	6	0
gene-LtaPh_0202800	BLBS01000002.1	134717	137950	-	3234	121	3727	0	494	1409	2198	786	1	0
gene-LtaPh_0202900	BLBS01000002.1	139678	140814	-	1137	112	2733	0	450	1133	1774	811	0	0
gene-LtaPh_0203000	BLBS01000002.1	142430	144019	-	1590	146	4114	0	646	1641	2604	1051	2	0
gene-LtaPh_0203100	BLBS01000002.1	145088	146473	-	1386	89	2672	10	380	1195	1705	553	17	7
gene-LtaPh_0203200	BLBS01000002.1	147929	148600	-	672	53	1769	0	312	779	879	436	0	1
gene-LtaPh_0203251	BLBS01000002.1	147941	148591	+	651	1	1	0	0	1	0	3	0	0
gene-LtaPh_0203300	BLBS01000002.1	149921	153283	-	3363	199	5234	0	1020	2033	3099	1566	6	0
gene-LtaPh_0203400	BLBS01000002.1	154475	157489	-	3015	150	4603	0	665	1710	2772	944	3	0
gene-LtaPh_0203500	BLBS01000002.1	159313	160407	-	1095	82	2684	0	462	1117	1119	778	1	0
gene-LtaPh_0203600	BLBS01000002.1	161469	162560	-	1092	100	1129	0	412	734	1271	581	1	0
gene-LtaPh_0203700	BLBS01000002.1	164734	165246	-	513	16	273	0	98	121	223	141	0	0
gene-LtaPh_0203800	BLBS01000002.1	168533	169360	-	828	48	978	0	214	378	598	293	0	0
gene-LtaPh_0203900	BLBS01000002.1	172367	173242	-	876	658	13231	0	2571	4565	9158	4576	17	0
gene-LtaPh_0204000	BLBS01000002.1	174762	185330	-	10569	280	8453	0	1266	2821	5242	2167	6	0
gene-LtaPh_0204061	BLBS01000002.1	186445	187050	-	606	20	588	0	99	244	618	110	0	0
gene-LtaPh_0204121	BLBS01000002.1	187811	190309	-	2499	27	996	0	142	369	878	221	0	0
gene-LtaPh_0204200	BLBS01000002.1	190705	191250	-	546	6	205	0	40	71	203	46	0	0
gene-LtaPh_0204300	BLBS01000002.1	191800	194607	-	2808	76	2446	1	371	818	1861	677	9	1
gene-LtaPh_0204400	BLBS01000002.1	195956	196471	-	516	52	1753	0	267	546	927	494	4	0
gene-LtaPh_0204551	BLBS01000002.1	198145	204369	-	6225	248	9166	2	1364	2948	6268	2311	4	0
gene-LtaPh_0204700	BLBS01000002.1	213453	214937	-	1485	116	2720	0	664	1048	2242	1133	1	0
gene-LtaPh_0204800	BLBS01000002.1	216739	217926	-	1188	143	5896	0	694	1465	1555	1704	5	0
gene-LtaPh_0204900	BLBS01000002.1	218502	221036	-	2535	118	3266	0	358	1021	2299	858	5	0
gene-LtaPh_0205000	BLBS01000002.1	224584	228909	-	4326	57	1758	0	229	597	1662	423	0	0
gene-LtaPh_0205100	BLBS01000002.1	242643	253973	+	11331	243	7953	2	808	2395	7266	1821	2	0
gene-LtaPh_0205251	BLBS01000002.1	254593	256350	+	1758	64	1656	0	267	438	1136	564	0	0
gene-LtaPh_0205400	BLBS01000002.1	261188	263368	+	2181	98	2158	0	258	863	1934	540	3	0
gene-LtaPh_0205500	BLBS01000002.1	263893	266271	+	2379	34	1565	0	199	527	1044	400	3	0
gene-LtaPh_0205600	BLBS01000002.1	269563	271932	+	2370	57	1568	0	226	487	1290	429	1	0
gene-LtaPh_0205700	BLBS01000002.1	272450	273400	+	951	61	1076	0	221	351	774	338	0	0
gene-LtaPh_0205900	BLBS01000002.1	278066	278986	+	921	106	2689	1	482	1085	2798	644	2	0
gene-LtaPh_0206000	BLBS01000002.1	281708	282232	+	525	23	626	0	71	252	419	121	0	0
gene-LtaPh_0206061	BLBS01000002.1	283027	285840	+	2814	132	4204	0	658	1195	2240	1294	3	0
gene-LtaPh_0206121	BLBS01000002.1	287323	287943	+	621	26	885	0	112	493	550	192	3	0
gene-LtaPh_0206200	BLBS01000002.1	290668	290994	+	327	0	0	0	0	0	0	0	0	0
gene-LtaPh_0206251	BLBS01000002.1	290672	291094	+	423	9	204	0	48	43	110	96	0	0
gene-LtaPh_0206300	BLBS01000002.1	291681	291941	+	261	9	212	0	63	71	146	66	0	0
gene-LtaPh_0300200	BLBS01000003.1	3311	4117	+	807	99	1614	0	293	452	621	597	1	0
gene-LtaPh_0300300	BLBS01000003.1	4752	6071	+	1320	143	2296	0	542	979	2002	1093	2	0
gene-LtaPh_0300400	BLBS01000003.1	6962	8107	+	1146	114	2983	0	390	816	2169	712	0	0
gene-LtaPh_0300500	BLBS01000003.1	11410	12582	+	1173	51	1943	0	227	698	1319	471	0	0
gene-LtaPh_0300600	BLBS01000003.1	13391	15892	+	2502	169	3428	0	533	1247	2968	1001	1	1
gene-LtaPh_0300700	BLBS01000003.1	16404	18557	+	2154	182	5226	0	746	1682	4040	1585	1	1
gene-LtaPh_0300800	BLBS01000003.1	19829	21532	+	1704	76	1864	0	242	590	1831	477	1	0
gene-LtaPh_0300900	BLBS01000003.1	22665	23423	+	759	62	1819	0	274	630	1163	541	1	2
gene-LtaPh_0301000	BLBS01000003.1	24825	27443	+	2619	73	2445	0	288	709	2008	555	0	0
gene-LtaPh_0301100	BLBS01000003.1	28228	31011	+	2784	78	2525	0	322	732	1700	584	1	0
gene-LtaPh_0301200	BLBS01000003.1	32015	32569	+	555	64	1234	0	228	547	1191	421	7	0
gene-LtaPh_0301300	BLBS01000003.1	32975	33892	+	918	40	1462	0	176	431	690	349	1	0
gene-LtaPh_0301400	BLBS01000003.1	35066	36001	+	936	92	2796	0	317	1004	1993	735	3	0
gene-LtaPh_0301500	BLBS01000003.1	36583	39024	+	2442	255	4688	0	766	1564	3443	1323	9	1
gene-LtaPh_0301600	BLBS01000003.1	39959	40657	+	699	48	1443	0	211	569	857	425	0	0
gene-LtaPh_0301700	BLBS01000003.1	41377	43248	+	1872	53	1742	0	272	600	1565	385	1	0
gene-LtaPh_0301800	BLBS01000003.1	44151	44783	+	633	107	2409	0	351	897	1987	623	4	0
gene-LtaPh_0301900	BLBS01000003.1	46581	48263	+	1683	670	11125	5	2214	5345	10470	2995	14	4
gene-LtaPh_0302000	BLBS01000003.1	50177	51316	+	1140	90	2976	1	425	1209	2038	662	0	0
gene-LtaPh_0302100	BLBS01000003.1	51758	53218	+	1461	103	2272	0	447	890	1560	666	3	1
gene-LtaPh_0302200	BLBS01000003.1	54051	56168	+	2118	259	4615	2	1410	1489	2617	2413	6	1
gene-LtaPh_0302300	BLBS01000003.1	59608	60072	+	465	37	1332	0	130	399	521	217	6	0
gene-LtaPh_2623700	BLBS01000003.1	60679	60930	+	252	688	16269	239	2035	9877	11124	3740	688	182
gene-LtaPh_0302500	BLBS01000003.1	62146	63186	+	1041	26	1022	0	160	393	736	221	0	0
gene-LtaPh_0302561	BLBS01000003.1	64374	70205	+	5832	136	5650	0	661	2014	3604	1064	4	0
gene-LtaPh_0302621	BLBS01000003.1	64865	69016	-	4152	0	1	0	0	0	0	0	0	0
gene-LtaPh_0302681	BLBS01000003.1	64932	68747	-	3816	0	0	0	0	0	0	0	0	0
gene-LtaPh_0302741	BLBS01000003.1	64936	68607	-	3672	0	0	0	0	0	0	0	0	0
gene-LtaPh_0302800	BLBS01000003.1	71002	74025	+	3024	79	3440	0	436	1375	2271	582	1	0
gene-LtaPh_0302900	BLBS01000003.1	78542	84553	+	6012	239	8833	0	1281	3188	5099	1837	6	0
gene-LtaPh_0303000	BLBS01000003.1	85615	88587	+	2973	137	4749	0	667	1560	2152	1215	5	0
gene-LtaPh_0303100	BLBS01000003.1	89334	91658	+	2325	56	1917	0	337	807	1148	434	0	0
gene-LtaPh_0303200	BLBS01000003.1	92326	93363	+	1038	79	2506	0	285	1048	1284	496	5	0
gene-LtaPh_0303300	BLBS01000003.1	93915	98708	+	4794	140	5285	0	732	1947	3268	1115	3	1
gene-LtaPh_0303400	BLBS01000003.1	102130	107097	+	4968	169	6492	0	842	2153	3314	1162	2	0
gene-LtaPh_0303500	BLBS01000003.1	111903	112823	+	921	124	2164	0	459	808	1802	784	1	0
gene-LtaPh_0303571	BLBS01000003.1	111906	113276	-	1371	1	13	0	0	3	14	4	1	0
gene-LtaPh_0303641	BLBS01000003.1	115942	117000	+	1059	202	2432	0	1805	762	2553	2756	5	0
gene-LtaPh_0303711	BLBS01000003.1	120912	122108	+	1197	153	1186	0	1230	375	777	1716	3	0
gene-LtaPh_0303800	BLBS01000003.1	124567	126312	+	1746	563	10751	0	2238	3299	8238	3514	6	0
gene-LtaPh_0303900	BLBS01000003.1	128607	133733	+	5127	216	6292	0	854	1930	3254	1375	1	0
gene-LtaPh_0304000	BLBS01000003.1	134697	135032	+	336	496	13828	0	1375	7511	7090	2393	19	0
gene-LtaPh_0304031	BLBS01000003.1	135645	135980	+	336	434	13318	1	1449	7318	6637	2394	22	0
gene-LtaPh_0304061	BLBS01000003.1	136594	136929	+	336	559	14751	0	1641	9385	7958	2745	19	0
gene-LtaPh_0304100	BLBS01000003.1	137840	142927	+	5088	150	5256	0	744	1677	3356	1435	2	0
gene-LtaPh_0304200	BLBS01000003.1	149060	152176	+	3117	27	743	0	91	268	567	115	0	0
gene-LtaPh_0304300	BLBS01000003.1	155832	158645	+	2814	186	5191	0	678	1852	3690	1175	2	0
gene-LtaPh_0304400	BLBS01000003.1	159789	162815	+	3027	144	4047	0	539	1263	2594	878	3	0
gene-LtaPh_0304500	BLBS01000003.1	164183	167167	+	2985	156	4075	0	698	1441	3321	1272	2	0
gene-LtaPh_0304600	BLBS01000003.1	168521	170239	+	1719	56	1665	0	366	618	1077	530	0	0
gene-LtaPh_0304700	BLBS01000003.1	172990	180360	+	7371	258	9243	0	1120	2843	5761	2100	4	0
gene-LtaPh_0304800	BLBS01000003.1	181074	183608	+	2535	231	5591	0	686	2114	4307	1283	4	0
gene-LtaPh_0304900	BLBS01000003.1	185007	191495	+	6489	415	12203	0	1571	4305	9511	2516	5	0
gene-LtaPh_0305000	BLBS01000003.1	193068	194258	+	1191	74	2737	0	361	857	1407	657	4	2
gene-LtaPh_0305100	BLBS01000003.1	198093	200138	+	2046	108	3779	0	652	1324	2618	1119	0	0
gene-LtaPh_0305200	BLBS01000003.1	201228	202226	+	999	111	1691	0	293	688	1218	613	1	0
gene-LtaPh_0305300	BLBS01000003.1	202497	203222	+	726	110	3101	1	365	1028	2389	762	1	0
gene-LtaPh_0305400	BLBS01000003.1	204825	209012	+	4188	246	6954	1	901	2211	5273	1623	2	0
gene-LtaPh_0305500	BLBS01000003.1	209406	210815	+	1410	217	6965	4	759	2477	5926	1600	11	5
gene-LtaPh_0305600	BLBS01000003.1	211782	212828	+	1047	181	4268	0	607	1595	3242	1109	3	0
gene-LtaPh_0305700	BLBS01000003.1	213451	215799	+	2349	129	3535	0	483	1306	3091	934	0	0
gene-LtaPh_0305800	BLBS01000003.1	216972	218138	+	1167	78	1960	1	386	700	1100	704	8	0
gene-LtaPh_0305900	BLBS01000003.1	218873	220648	+	1776	110	3192	0	355	1160	2516	597	3	0
gene-LtaPh_0306000	BLBS01000003.1	222920	225532	+	2613	151	4745	0	796	1651	3358	1378	2	1
gene-LtaPh_0306100	BLBS01000003.1	226413	228734	+	2322	252	8261	0	1097	2523	4922	2103	2	1
gene-LtaPh_0306200	BLBS01000003.1	229650	231947	+	2298	23	608	0	108	241	431	203	0	0
gene-LtaPh_0306300	BLBS01000003.1	241976	242836	+	861	22	406	0	66	165	299	105	1	0
gene-LtaPh_0306400	BLBS01000003.1	245137	251754	-	6618	996	22240	23	3460	9017	23478	5363	35	17
gene-LtaPh_0306500	BLBS01000003.1	252607	260991	-	8385	224	8004	0	1102	2700	4958	1751	1	0
gene-LtaPh_0306600	BLBS01000003.1	261900	262832	-	933	52	2003	0	219	474	435	312	4	0
gene-LtaPh_0306700	BLBS01000003.1	263138	266914	-	3777	107	3335	0	479	1518	2161	722	1	0
gene-LtaPh_0306800	BLBS01000003.1	267756	268949	-	1194	39	1656	0	208	570	660	379	0	0
gene-LtaPh_0306851	BLBS01000003.1	269675	269914	+	240	0	0	0	0	0	2	1	0	0
gene-LtaPh_0306900	BLBS01000003.1	269687	269929	-	243	35	681	0	106	278	509	182	3	0
gene-LtaPh_0307000	BLBS01000003.1	270733	273006	-	2274	99	3948	1	471	1440	2228	856	0	0
gene-LtaPh_0307100	BLBS01000003.1	273745	274719	-	975	34	1231	0	191	433	774	270	0	0
gene-LtaPh_0307200	BLBS01000003.1	275304	277343	-	2040	88	2352	0	349	1042	1449	507	1	0
gene-LtaPh_0307300	BLBS01000003.1	277752	287006	-	9255	404	16569	1	2010	5532	9830	3265	7	0
gene-LtaPh_0307400	BLBS01000003.1	288430	289815	-	1386	69	1760	1	323	797	1067	463	2	0
gene-LtaPh_0307500	BLBS01000003.1	290651	298039	-	7389	151	8633	0	1026	2753	4639	1477	1	0
gene-LtaPh_0307600	BLBS01000003.1	299212	302316	-	3105	73	2461	0	274	856	1609	436	0	0
gene-LtaPh_0307700	BLBS01000003.1	302935	311796	-	8862	201	8159	3	1071	2698	5650	1459	20	3
gene-LtaPh_0307800	BLBS01000003.1	315582	316763	-	1182	31	1026	0	159	414	679	203	1	0
gene-LtaPh_0307900	BLBS01000003.1	317778	320555	-	2778	107	4315	0	457	1589	4115	855	3	0
gene-LtaPh_0308000	BLBS01000003.1	322177	327993	-	5817	226	6612	0	1149	2197	4545	1604	4	0
gene-LtaPh_0308100	BLBS01000003.1	329178	333986	-	4809	120	4177	0	374	1398	2935	764	1	0
gene-LtaPh_0308200	BLBS01000003.1	334336	338436	-	4101	82	2901	0	299	876	2352	525	0	0
gene-LtaPh_0308300	BLBS01000003.1	339236	345226	-	5991	134	3833	0	542	1404	3617	991	1	0
gene-LtaPh_0308400	BLBS01000003.1	345855	348014	-	2160	93	2257	0	334	854	2033	612	3	1
gene-LtaPh_0308500	BLBS01000003.1	350059	351177	-	1119	62	2114	0	186	762	1655	446	4	0
gene-LtaPh_0308600	BLBS01000003.1	352350	353141	-	792	57	1728	0	161	641	862	357	1	0
gene-LtaPh_0308700	BLBS01000003.1	353774	354430	-	657	54	1362	0	176	459	833	347	0	0
gene-LtaPh_0308800	BLBS01000003.1	355456	357549	-	2094	64	2342	0	276	694	1693	528	1	0
gene-LtaPh_0308900	BLBS01000003.1	358187	359152	-	966	43	927	0	106	325	601	316	0	0
gene-LtaPh_0309000	BLBS01000003.1	361652	363559	-	1908	170	5655	0	593	1829	3148	1233	3	0
gene-LtaPh_0309100	BLBS01000003.1	364221	364535	-	315	311	5264	0	926	2379	4086	1417	6	0
