# Program:featureCounts v2.0.1; Command:"/usr/local/anaconda/bin/featureCounts" "-a" "../../tarinf.gff" "../hyb.sorted.bam" "-o" "test.out" "-g" "ID" "-t" "gene" "-M" "-p" "-O" 
Geneid	Chr	Start	End	Strand	Length	../hyb.sorted.bam
gene-LtaPh_0103700	BLBS01000001.1	100060	102264	+	2205	1042
gene-LtaPh_0103800	BLBS01000001.1	102940	103830	+	891	397
gene-LtaPh_0103900	BLBS01000001.1	104548	105126	+	579	316
gene-LtaPh_0104000	BLBS01000001.1	105961	108492	+	2532	1092
gene-LtaPh_0104100	BLBS01000001.1	109314	111860	+	2547	1193
gene-LtaPh_0104200	BLBS01000001.1	112594	114381	+	1788	798
gene-LtaPh_0104251	BLBS01000001.1	115083	115778	-	696	404
gene-LtaPh_0104300	BLBS01000001.1	115146	115748	+	603	367
gene-LtaPh_0104331	BLBS01000001.1	116960	117634	-	675	404
gene-LtaPh_0104361	BLBS01000001.1	117002	117604	+	603	376
gene-LtaPh_0104400	BLBS01000001.1	118401	120680	+	2280	957
gene-LtaPh_0104500	BLBS01000001.1	122093	123859	+	1767	781
gene-LtaPh_0104600	BLBS01000001.1	126307	126963	+	657	425
gene-LtaPh_0104700	BLBS01000001.1	128895	134006	+	5112	2131
gene-LtaPh_0104800	BLBS01000001.1	137127	139214	+	2088	915
gene-LtaPh_0104900	BLBS01000001.1	140520	142031	+	1512	656
gene-LtaPh_0105000	BLBS01000001.1	143944	146040	+	2097	1034
gene-LtaPh_0105200	BLBS01000001.1	154470	159116	+	4647	2715
gene-LtaPh_0105300	BLBS01000001.1	160244	162187	+	1944	1040
gene-LtaPh_0105400	BLBS01000001.1	165750	166868	+	1119	632
gene-LtaPh_0105500	BLBS01000001.1	167856	169691	+	1836	885
gene-LtaPh_0105600	BLBS01000001.1	170312	171292	+	981	517
gene-LtaPh_0105700	BLBS01000001.1	172035	174905	+	2871	1228
gene-LtaPh_0105751	BLBS01000001.1	175725	177188	+	1464	630
gene-LtaPh_0105800	BLBS01000001.1	177818	183346	+	5529	2428
gene-LtaPh_0105900	BLBS01000001.1	183932	185146	+	1215	595
gene-LtaPh_0106000	BLBS01000001.1	185308	187515	+	2208	1099
gene-LtaPh_0106100	BLBS01000001.1	189495	191576	+	2082	956
gene-LtaPh_0106200	BLBS01000001.1	193115	196426	+	3312	1579
gene-LtaPh_0106300	BLBS01000001.1	197413	198915	+	1503	688
gene-LtaPh_0106400	BLBS01000001.1	200445	204329	+	3885	1673
gene-LtaPh_0106500	BLBS01000001.1	204814	206184	+	1371	634
gene-LtaPh_0106600	BLBS01000001.1	210286	212073	+	1788	848
gene-LtaPh_0106700	BLBS01000001.1	213411	214670	+	1260	596
gene-LtaPh_0106800	BLBS01000001.1	216013	217599	+	1587	772
gene-LtaPh_0106900	BLBS01000001.1	218077	222879	+	4803	2023
gene-LtaPh_0107000	BLBS01000001.1	223715	230596	+	6882	2875
gene-LtaPh_0107100	BLBS01000001.1	230867	233398	+	2532	1013
gene-LtaPh_0107200	BLBS01000001.1	234929	238588	+	3660	1468
gene-LtaPh_0107300	BLBS01000001.1	239200	240249	+	1050	490
gene-LtaPh_0107400	BLBS01000001.1	240750	241961	+	1212	478
gene-LtaPh_0107451	BLBS01000001.1	243835	245046	+	1212	591
gene-LtaPh_0107500	BLBS01000001.1	246091	247956	+	1866	805
gene-LtaPh_0107600	BLBS01000001.1	249894	251063	+	1170	581
gene-LtaPh_0107700	BLBS01000001.1	252627	255665	+	3039	1252
gene-LtaPh_0107800	BLBS01000001.1	257656	261084	+	3429	1374
gene-LtaPh_3510200	BLBS01000002.1	2230	2388	-	159	71
gene-LtaPh_0200100	BLBS01000002.1	3971	4627	-	657	118
gene-LtaPh_0200200	BLBS01000002.1	5266	5832	-	567	107
gene-LtaPh_0200300	BLBS01000002.1	6455	7624	-	1170	161
gene-LtaPh_0200400	BLBS01000002.1	10012	13320	-	3309	479
gene-LtaPh_0200500	BLBS01000002.1	14727	15929	-	1203	210
gene-LtaPh_0200600	BLBS01000002.1	16645	17709	-	1065	171
gene-LtaPh_0200700	BLBS01000002.1	22420	25290	-	2871	378
gene-LtaPh_0200800	BLBS01000002.1	27646	31146	-	3501	418
gene-LtaPh_0200900	BLBS01000002.1	33021	37220	-	4200	557
gene-LtaPh_0200951	BLBS01000002.1	37141	47754	-	10614	1389
gene-LtaPh_0201000	BLBS01000002.1	48822	49541	-	720	128
gene-LtaPh_0201100	BLBS01000002.1	50544	53243	-	2700	429
gene-LtaPh_0201200	BLBS01000002.1	54482	60277	-	5796	745
gene-LtaPh_0201281	BLBS01000002.1	62528	64996	-	2469	391
gene-LtaPh_0201361	BLBS01000002.1	62660	64387	+	1728	300
gene-LtaPh_0201441	BLBS01000002.1	74203	75492	-	1290	238
gene-LtaPh_0201521	BLBS01000002.1	79098	80369	-	1272	177
gene-LtaPh_0201600	BLBS01000002.1	84706	87681	-	2976	515
gene-LtaPh_0201700	BLBS01000002.1	89613	92954	-	3342	501
gene-LtaPh_0201800	BLBS01000002.1	93765	96788	-	3024	477
gene-LtaPh_0201900	BLBS01000002.1	99012	99419	-	408	98
gene-LtaPh_0202000	BLBS01000002.1	100958	101431	-	474	121
gene-LtaPh_0202101	BLBS01000002.1	100980	101468	+	489	131
gene-LtaPh_0202200	BLBS01000002.1	103252	103752	-	501	100
gene-LtaPh_0202100	BLBS01000002.1	104603	106210	-	1608	268
gene-LtaPh_0202300	BLBS01000002.1	110129	117982	-	7854	1128
gene-LtaPh_0202400	BLBS01000002.1	119996	122083	-	2088	335
gene-LtaPh_0202501	BLBS01000002.1	123084	124433	-	1350	244
gene-LtaPh_0202600	BLBS01000002.1	124906	129528	-	4623	682
gene-LtaPh_0202700	BLBS01000002.1	130705	133614	-	2910	418
gene-LtaPh_0202800	BLBS01000002.1	134717	137950	-	3234	466
gene-LtaPh_0202900	BLBS01000002.1	139678	140814	-	1137	176
gene-LtaPh_0203000	BLBS01000002.1	142430	144019	-	1590	262
gene-LtaPh_0203100	BLBS01000002.1	145088	146473	-	1386	255
gene-LtaPh_0203200	BLBS01000002.1	147929	148600	-	672	130
gene-LtaPh_0203251	BLBS01000002.1	147941	148591	+	651	129
gene-LtaPh_0203300	BLBS01000002.1	149921	153283	-	3363	524
gene-LtaPh_0203400	BLBS01000002.1	154475	157489	-	3015	460
gene-LtaPh_0203500	BLBS01000002.1	159313	160407	-	1095	225
gene-LtaPh_0203600	BLBS01000002.1	161469	162560	-	1092	207
gene-LtaPh_0203700	BLBS01000002.1	164734	165246	-	513	128
gene-LtaPh_0203800	BLBS01000002.1	168533	169360	-	828	156
gene-LtaPh_0203900	BLBS01000002.1	172367	173242	-	876	142
gene-LtaPh_0204000	BLBS01000002.1	174762	185330	-	10569	1547
gene-LtaPh_0204061	BLBS01000002.1	186445	187050	-	606	115
gene-LtaPh_0204121	BLBS01000002.1	187811	190309	-	2499	427
gene-LtaPh_0204200	BLBS01000002.1	190705	191250	-	546	106
gene-LtaPh_0204300	BLBS01000002.1	191800	194607	-	2808	445
gene-LtaPh_0204400	BLBS01000002.1	195956	196471	-	516	99
gene-LtaPh_0204551	BLBS01000002.1	198145	204369	-	6225	888
gene-LtaPh_0204700	BLBS01000002.1	213453	214937	-	1485	232
gene-LtaPh_0204800	BLBS01000002.1	216739	217926	-	1188	204
gene-LtaPh_0204900	BLBS01000002.1	218502	221036	-	2535	382
gene-LtaPh_0205000	BLBS01000002.1	224584	228909	-	4326	539
gene-LtaPh_0205100	BLBS01000002.1	242643	253973	+	11331	1542
gene-LtaPh_0205251	BLBS01000002.1	254593	256350	+	1758	249
gene-LtaPh_0205400	BLBS01000002.1	261188	263368	+	2181	327
gene-LtaPh_0205500	BLBS01000002.1	263893	266271	+	2379	341
gene-LtaPh_0205600	BLBS01000002.1	269563	271932	+	2370	364
gene-LtaPh_0205700	BLBS01000002.1	272450	273400	+	951	161
gene-LtaPh_0205900	BLBS01000002.1	278066	278986	+	921	183
gene-LtaPh_0206000	BLBS01000002.1	281708	282232	+	525	101
gene-LtaPh_0206061	BLBS01000002.1	283027	285840	+	2814	467
gene-LtaPh_0206121	BLBS01000002.1	287323	287943	+	621	98
gene-LtaPh_0206200	BLBS01000002.1	290668	290994	+	327	157
gene-LtaPh_0206251	BLBS01000002.1	290672	291094	+	423	187
gene-LtaPh_0206300	BLBS01000002.1	291681	291941	+	261	153
gene-LtaPh_0300200	BLBS01000003.1	3311	4117	+	807	142
gene-LtaPh_0300300	BLBS01000003.1	4752	6071	+	1320	162
gene-LtaPh_0300400	BLBS01000003.1	6962	8107	+	1146	168
gene-LtaPh_0300500	BLBS01000003.1	11410	12582	+	1173	182
gene-LtaPh_0300600	BLBS01000003.1	13391	15892	+	2502	333
gene-LtaPh_0300700	BLBS01000003.1	16404	18557	+	2154	328
gene-LtaPh_0300800	BLBS01000003.1	19829	21532	+	1704	251
gene-LtaPh_0300900	BLBS01000003.1	22665	23423	+	759	104
gene-LtaPh_0301000	BLBS01000003.1	24825	27443	+	2619	395
gene-LtaPh_0301100	BLBS01000003.1	28228	31011	+	2784	425
gene-LtaPh_0301200	BLBS01000003.1	32015	32569	+	555	111
gene-LtaPh_0301300	BLBS01000003.1	32975	33892	+	918	120
gene-LtaPh_0301400	BLBS01000003.1	35066	36001	+	936	109
gene-LtaPh_0301500	BLBS01000003.1	36583	39024	+	2442	337
gene-LtaPh_0301600	BLBS01000003.1	39959	40657	+	699	119
gene-LtaPh_0301700	BLBS01000003.1	41377	43248	+	1872	283
gene-LtaPh_0301800	BLBS01000003.1	44151	44783	+	633	94
gene-LtaPh_0301900	BLBS01000003.1	46581	48263	+	1683	253
gene-LtaPh_0302000	BLBS01000003.1	50177	51316	+	1140	145
gene-LtaPh_0302100	BLBS01000003.1	51758	53218	+	1461	208
gene-LtaPh_0302200	BLBS01000003.1	54051	56168	+	2118	326
gene-LtaPh_0302300	BLBS01000003.1	59608	60072	+	465	118
gene-LtaPh_2623700	BLBS01000003.1	60679	60930	+	252	70
gene-LtaPh_0302500	BLBS01000003.1	62146	63186	+	1041	170
gene-LtaPh_0302561	BLBS01000003.1	64374	70205	+	5832	1060
gene-LtaPh_0302621	BLBS01000003.1	64865	69016	-	4152	832
gene-LtaPh_0302681	BLBS01000003.1	64932	68747	-	3816	787
gene-LtaPh_0302741	BLBS01000003.1	64936	68607	-	3672	765
gene-LtaPh_0302800	BLBS01000003.1	71002	74025	+	3024	471
gene-LtaPh_0302900	BLBS01000003.1	78542	84553	+	6012	805
gene-LtaPh_0303000	BLBS01000003.1	85615	88587	+	2973	462
gene-LtaPh_0303100	BLBS01000003.1	89334	91658	+	2325	343
gene-LtaPh_0303200	BLBS01000003.1	92326	93363	+	1038	218
gene-LtaPh_0303300	BLBS01000003.1	93915	98708	+	4794	720
gene-LtaPh_0303400	BLBS01000003.1	102130	107097	+	4968	677
gene-LtaPh_0303500	BLBS01000003.1	111903	112823	+	921	159
gene-LtaPh_0303571	BLBS01000003.1	111906	113276	-	1371	205
gene-LtaPh_0303641	BLBS01000003.1	115942	117000	+	1059	195
gene-LtaPh_0303711	BLBS01000003.1	120912	122108	+	1197	190
gene-LtaPh_0303800	BLBS01000003.1	124567	126312	+	1746	282
gene-LtaPh_0303900	BLBS01000003.1	128607	133733	+	5127	779
gene-LtaPh_0304000	BLBS01000003.1	134697	135032	+	336	54
gene-LtaPh_0304031	BLBS01000003.1	135645	135980	+	336	40
gene-LtaPh_0304061	BLBS01000003.1	136594	136929	+	336	67
gene-LtaPh_0304100	BLBS01000003.1	137840	142927	+	5088	754
gene-LtaPh_0304200	BLBS01000003.1	149060	152176	+	3117	494
gene-LtaPh_0304300	BLBS01000003.1	155832	158645	+	2814	459
gene-LtaPh_0304400	BLBS01000003.1	159789	162815	+	3027	535
gene-LtaPh_0304500	BLBS01000003.1	164183	167167	+	2985	464
gene-LtaPh_0304600	BLBS01000003.1	168521	170239	+	1719	244
gene-LtaPh_0304700	BLBS01000003.1	172990	180360	+	7371	1201
gene-LtaPh_0304800	BLBS01000003.1	181074	183608	+	2535	392
gene-LtaPh_0304900	BLBS01000003.1	185007	191495	+	6489	1068
gene-LtaPh_0305000	BLBS01000003.1	193068	194258	+	1191	230
gene-LtaPh_0305100	BLBS01000003.1	198093	200138	+	2046	334
gene-LtaPh_0305200	BLBS01000003.1	201228	202226	+	999	192
gene-LtaPh_0305300	BLBS01000003.1	202497	203222	+	726	174
gene-LtaPh_0305400	BLBS01000003.1	204825	209012	+	4188	662
gene-LtaPh_0305500	BLBS01000003.1	209406	210815	+	1410	252
gene-LtaPh_0305600	BLBS01000003.1	211782	212828	+	1047	166
gene-LtaPh_0305700	BLBS01000003.1	213451	215799	+	2349	370
gene-LtaPh_0305800	BLBS01000003.1	216972	218138	+	1167	171
gene-LtaPh_0305900	BLBS01000003.1	218873	220648	+	1776	336
gene-LtaPh_0306000	BLBS01000003.1	222920	225532	+	2613	411
gene-LtaPh_0306100	BLBS01000003.1	226413	228734	+	2322	369
gene-LtaPh_0306200	BLBS01000003.1	229650	231947	+	2298	372
gene-LtaPh_0306300	BLBS01000003.1	241976	242836	+	861	163
gene-LtaPh_0306400	BLBS01000003.1	245137	251754	-	6618	986
gene-LtaPh_0306500	BLBS01000003.1	252607	260991	-	8385	1338
gene-LtaPh_0306600	BLBS01000003.1	261900	262832	-	933	217
gene-LtaPh_0306700	BLBS01000003.1	263138	266914	-	3777	566
gene-LtaPh_0306800	BLBS01000003.1	267756	268949	-	1194	204
gene-LtaPh_0306851	BLBS01000003.1	269675	269914	+	240	81
gene-LtaPh_0306900	BLBS01000003.1	269687	269929	-	243	79
gene-LtaPh_0307000	BLBS01000003.1	270733	273006	-	2274	382
gene-LtaPh_0307100	BLBS01000003.1	273745	274719	-	975	145
gene-LtaPh_0307200	BLBS01000003.1	275304	277343	-	2040	345
gene-LtaPh_0307300	BLBS01000003.1	277752	287006	-	9255	1296
gene-LtaPh_0307400	BLBS01000003.1	288430	289815	-	1386	236
gene-LtaPh_0307500	BLBS01000003.1	290651	298039	-	7389	1048
gene-LtaPh_0307600	BLBS01000003.1	299212	302316	-	3105	440
gene-LtaPh_0307700	BLBS01000003.1	302935	311796	-	8862	1271
gene-LtaPh_0307800	BLBS01000003.1	315582	316763	-	1182	169
gene-LtaPh_0307900	BLBS01000003.1	317778	320555	-	2778	471
gene-LtaPh_0308000	BLBS01000003.1	322177	327993	-	5817	753
gene-LtaPh_0308100	BLBS01000003.1	329178	333986	-	4809	660
gene-LtaPh_0308200	BLBS01000003.1	334336	338436	-	4101	582
gene-LtaPh_0308300	BLBS01000003.1	339236	345226	-	5991	820
gene-LtaPh_0308400	BLBS01000003.1	345855	348014	-	2160	304
gene-LtaPh_0308500	BLBS01000003.1	350059	351177	-	1119	182
gene-LtaPh_0308600	BLBS01000003.1	352350	353141	-	792	160
gene-LtaPh_0308700	BLBS01000003.1	353774	354430	-	657	113
gene-LtaPh_0308800	BLBS01000003.1	355456	357549	-	2094	287
gene-LtaPh_0308900	BLBS01000003.1	358187	359152	-	966	178
gene-LtaPh_0309000	BLBS01000003.1	361652	363559	-	1908	288
gene-LtaPh_0309100	BLBS01000003.1	364221	364535	-	315	66
gene-LtaPh_0309200	BLBS01000003.1	365042	366019	-	978	146
gene-LtaPh_0309300	BLBS01000003.1	366745	367986	-	1242	187
gene-LtaPh_0309351	BLBS01000003.1	366811	367842	+	1032	170
gene-LtaPh_0400100	BLBS01000004.1	3306	6557	+	3252	730
gene-LtaPh_0400200	BLBS01000004.1	9079	9366	+	288	151
gene-LtaPh_0400300	BLBS01000004.1	10906	13704	+	2799	692
gene-LtaPh_0400400	BLBS01000004.1	15493	16812	+	1320	359
gene-LtaPh_0400500	BLBS01000004.1	20762	21496	+	735	193
gene-LtaPh_0400600	BLBS01000004.1	22641	24041	+	1401	409
gene-LtaPh_0400700	BLBS01000004.1	26359	27144	+	786	223
gene-LtaPh_0400800	BLBS01000004.1	28085	28822	+	738	213
gene-LtaPh_0400900	BLBS01000004.1	29449	29925	+	477	168
gene-LtaPh_0401000	BLBS01000004.1	31137	36710	+	5574	1323
gene-LtaPh_0401100	BLBS01000004.1	37935	39665	+	1731	304
gene-LtaPh_0401200	BLBS01000004.1	40406	41449	+	1044	209
gene-LtaPh_0401300	BLBS01000004.1	41983	42981	+	999	235
gene-LtaPh_0401400	BLBS01000004.1	44038	44514	+	477	119
gene-LtaPh_0401500	BLBS01000004.1	45469	46737	+	1269	289
gene-LtaPh_0401581	BLBS01000004.1	47011	48900	+	1890	575
gene-LtaPh_0401661	BLBS01000004.1	50094	52115	+	2022	581
gene-LtaPh_0401741	BLBS01000004.1	54139	55524	+	1386	420
gene-LtaPh_0401821	BLBS01000004.1	56296	58296	+	2001	455
gene-LtaPh_0401900	BLBS01000004.1	58957	59886	+	930	301
gene-LtaPh_0402000	BLBS01000004.1	62699	63532	+	834	228
gene-LtaPh_0402100	BLBS01000004.1	65970	67028	+	1059	254
gene-LtaPh_0402200	BLBS01000004.1	69157	69945	+	789	246
gene-LtaPh_0402300	BLBS01000004.1	70744	72024	+	1281	337
gene-LtaPh_0402400	BLBS01000004.1	76992	78098	+	1107	363
gene-LtaPh_0402451	BLBS01000004.1	78695	79453	+	759	254
gene-LtaPh_0402500	BLBS01000004.1	80148	81590	+	1443	364
gene-LtaPh_0402600	BLBS01000004.1	82144	87498	+	5355	1403
gene-LtaPh_0402700	BLBS01000004.1	89251	90594	+	1344	406
gene-LtaPh_0402800	BLBS01000004.1	91269	92909	+	1641	449
gene-LtaPh_0402851	BLBS01000004.1	93481	95541	-	2061	495
gene-LtaPh_0402900	BLBS01000004.1	93493	95403	+	1911	473
gene-LtaPh_0403000	BLBS01000004.1	96794	97312	+	519	174
gene-LtaPh_0403100	BLBS01000004.1	98175	100658	+	2484	604
gene-LtaPh_0403200	BLBS01000004.1	100947	101819	+	873	205
gene-LtaPh_0403301	BLBS01000004.1	101085	101924	-	840	216
gene-LtaPh_0403400	BLBS01000004.1	107213	109237	+	2025	555
gene-LtaPh_0403500	BLBS01000004.1	110467	111039	+	573	208
gene-LtaPh_0403600	BLBS01000004.1	112052	113113	+	1062	304
gene-LtaPh_0403700	BLBS01000004.1	121391	122119	-	729	238
gene-LtaPh_0403800	BLBS01000004.1	125226	126254	-	1029	339
gene-LtaPh_0403900	BLBS01000004.1	127569	130712	-	3144	820
gene-LtaPh_0404000	BLBS01000004.1	132323	133408	-	1086	354
gene-LtaPh_0404100	BLBS01000004.1	134870	135442	-	573	234
gene-LtaPh_0404200	BLBS01000004.1	138579	142568	-	3990	1107
gene-LtaPh_0404300	BLBS01000004.1	146516	149335	-	2820	692
gene-LtaPh_0404351	BLBS01000004.1	148307	148897	+	591	220
gene-LtaPh_0404400	BLBS01000004.1	153025	154464	-	1440	452
gene-LtaPh_0404500	BLBS01000004.1	155033	157756	-	2724	786
gene-LtaPh_0404601	BLBS01000004.1	158816	159478	+	663	193
gene-LtaPh_0404700	BLBS01000004.1	160434	161006	-	573	207
gene-LtaPh_0404800	BLBS01000004.1	162783	163742	-	960	319
gene-LtaPh_0404900	BLBS01000004.1	168352	173706	-	5355	1364
gene-LtaPh_0405000	BLBS01000004.1	177397	181935	-	4539	1222
gene-LtaPh_0405100	BLBS01000004.1	183328	186549	-	3222	886
gene-LtaPh_0405200	BLBS01000004.1	187442	188791	-	1350	417
gene-LtaPh_0405300	BLBS01000004.1	191096	192601	-	1506	458
gene-LtaPh_0405400	BLBS01000004.1	193825	198753	-	4929	1203
gene-LtaPh_0405500	BLBS01000004.1	202611	203648	-	1038	300
gene-LtaPh_0405600	BLBS01000004.1	204069	208652	-	4584	1196
gene-LtaPh_0405700	BLBS01000004.1	210566	211465	-	900	352
gene-LtaPh_0405800	BLBS01000004.1	212076	212879	-	804	307
gene-LtaPh_0405900	BLBS01000004.1	213650	222445	-	8796	2427
gene-LtaPh_0406000	BLBS01000004.1	224163	224663	-	501	209
gene-LtaPh_0406100	BLBS01000004.1	225490	229146	-	3657	978
gene-LtaPh_0406200	BLBS01000004.1	232455	233396	-	942	291
gene-LtaPh_0406300	BLBS01000004.1	234078	234680	-	603	223
gene-LtaPh_0406400	BLBS01000004.1	236233	237228	-	996	342
gene-LtaPh_0406500	BLBS01000004.1	238343	241960	-	3618	945
gene-LtaPh_0406561	BLBS01000004.1	242822	243256	-	435	192
gene-LtaPh_0406621	BLBS01000004.1	244746	245207	-	462	221
gene-LtaPh_0406700	BLBS01000004.1	246204	246650	-	447	182
gene-LtaPh_0406800	BLBS01000004.1	248771	251044	-	2274	626
gene-LtaPh_0406900	BLBS01000004.1	252171	255242	-	3072	813
gene-LtaPh_0407000	BLBS01000004.1	256218	258551	-	2334	748
gene-LtaPh_0407100	BLBS01000004.1	260694	262751	-	2058	559
gene-LtaPh_0407200	BLBS01000004.1	263698	266037	-	2340	698
gene-LtaPh_0407300	BLBS01000004.1	266250	268712	-	2463	683
gene-LtaPh_0407401	BLBS01000004.1	269430	270071	-	642	278
gene-LtaPh_3220500	BLBS01000004.1	273156	273677	-	522	247
gene-LtaPh_0407500	BLBS01000004.1	274442	276145	-	1704	451
gene-LtaPh_0407600	BLBS01000004.1	277122	280568	-	3447	896
gene-LtaPh_0407700	BLBS01000004.1	282168	283088	-	921	282
gene-LtaPh_0407800	BLBS01000004.1	283948	286212	-	2265	610
gene-LtaPh_0407900	BLBS01000004.1	286741	288282	-	1542	405
gene-LtaPh_0408000	BLBS01000004.1	288917	292951	-	4035	993
gene-LtaPh_0408100	BLBS01000004.1	294138	296810	-	2673	718
gene-LtaPh_0408200	BLBS01000004.1	298217	299638	-	1422	380
gene-LtaPh_0408300	BLBS01000004.1	300027	300902	-	876	321
gene-LtaPh_0408400	BLBS01000004.1	304457	307828	-	3372	847
gene-LtaPh_0408500	BLBS01000004.1	309753	310304	-	552	205
gene-LtaPh_0408600	BLBS01000004.1	311946	315344	-	3399	919
gene-LtaPh_0408700	BLBS01000004.1	318736	320475	-	1740	522
gene-LtaPh_0408800	BLBS01000004.1	322644	323510	-	867	280
gene-LtaPh_0408900	BLBS01000004.1	324751	326550	-	1800	456
gene-LtaPh_0409000	BLBS01000004.1	328988	329434	-	447	184
gene-LtaPh_0409100	BLBS01000004.1	331022	332503	-	1482	379
gene-LtaPh_3504300	BLBS01000004.1	333796	334695	+	900	306
gene-LtaPh_0409151	BLBS01000004.1	333967	334608	-	642	257
gene-LtaPh_0409200	BLBS01000004.1	335540	336175	-	636	176
gene-LtaPh_0409300	BLBS01000004.1	337104	338642	-	1539	418
gene-LtaPh_0409400	BLBS01000004.1	339744	341156	-	1413	378
gene-LtaPh_0409500	BLBS01000004.1	341345	345073	-	3729	894
gene-LtaPh_0409700	BLBS01000004.1	347646	351113	-	3468	833
gene-LtaPh_0409800	BLBS01000004.1	352538	353671	-	1134	359
gene-LtaPh_0409900	BLBS01000004.1	354617	355129	-	513	143
gene-LtaPh_0410000	BLBS01000004.1	357347	358387	-	1041	316
gene-LtaPh_0410100	BLBS01000004.1	360300	361367	-	1068	288
gene-LtaPh_0410200	BLBS01000004.1	362544	363956	-	1413	336
gene-LtaPh_0410300	BLBS01000004.1	364473	364895	-	423	141
gene-LtaPh_0410351	BLBS01000004.1	364537	365133	+	597	195
gene-LtaPh_0410400	BLBS01000004.1	365692	368355	-	2664	651
gene-LtaPh_0410500	BLBS01000004.1	369233	373573	-	4341	942
gene-LtaPh_0410600	BLBS01000004.1	375128	375454	-	327	152
gene-LtaPh_0410700	BLBS01000004.1	376086	378959	-	2874	666
gene-LtaPh_0410800	BLBS01000004.1	380914	383085	-	2172	487
gene-LtaPh_0410900	BLBS01000004.1	383890	384825	-	936	249
gene-LtaPh_0411000	BLBS01000004.1	385668	386567	-	900	235
gene-LtaPh_0411200	BLBS01000004.1	389992	391047	-	1056	304
gene-LtaPh_0411300	BLBS01000004.1	392032	393093	-	1062	304
gene-LtaPh_0411400	BLBS01000004.1	403083	404039	-	957	223
gene-LtaPh_0411500	BLBS01000004.1	406930	414399	-	7470	1523
gene-LtaPh_0411600	BLBS01000004.1	416388	417248	-	861	233
gene-LtaPh_0411700	BLBS01000004.1	418046	418810	-	765	223
gene-LtaPh_0411800	BLBS01000004.1	419577	419837	-	261	130
gene-LtaPh_0411900	BLBS01000004.1	423260	424366	-	1107	276
gene-LtaPh_0412000	BLBS01000004.1	425303	428485	-	3183	750
gene-LtaPh_0412100	BLBS01000004.1	429670	430797	-	1128	319
gene-LtaPh_0500051	BLBS01000005.1	7950	8360	-	411	72
gene-LtaPh_3000200	BLBS01000005.1	13204	13614	-	411	81
gene-LtaPh_0500200	BLBS01000005.1	18892	21639	+	2748	340
gene-LtaPh_0500300	BLBS01000005.1	22151	22570	+	420	77
